[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
0,-3.129807101,1.4292025,93.8371,-3.129807101,1.4292025,93.8371,-21.3645481,7.4946025,137.686,17.3538519,8.1663025,131.215,-22.0473481,-4.2781975,84.2796,13.2118519,-4.3250975,83.7874,-19.5495481,-9.7107975,47.0241,12.1857519,2.8059025,47.8723,-18.6742481,-13.2033975,7.78212,13.2293519,8.9523025,9.25295,-19.8060481,-3.1524975,2.44264,14.5818519,20.7099025,4.43267
0.5,-2.969043301,1.4300025,93.7943,-2.969043301,1.4300025,93.7943,-21.0610481,7.3019025,137.738,17.5600519,8.4331025,131.072,-21.9144481,-4.4295975,84.3021,13.3225519,-4.1523975,83.6731,-19.4675481,-9.8981975,47.0496,12.2480519,2.9368025,47.7977,-18.6597481,-13.4586975,7.79208,13.2166519,8.8750025,9.16717,-19.8110481,-3.4134975,2.4469,14.5258519,20.5838025,4.25464
1,-2.797380101,1.4311025,93.7565,-2.797380101,1.4311025,93.7565,-20.7410481,7.1087025,137.799,17.7771519,8.7090025,130.928,-21.7738481,-4.5791975,84.3274,13.4417519,-3.9736975,83.5696,-19.3767481,-10.0820975,47.078,12.3226519,3.0592025,47.7326,-18.6461481,-13.7082975,7.81,13.2208519,8.7372025,9.08608,-19.8118481,-3.6730975,2.45123,14.4866519,20.3952025,4.07872
1.5,-2.621893101,1.4322025,93.7211,-2.621893101,1.4322025,93.7211,-20.4124481,6.9157025,137.862,17.9962519,8.9871025,130.784,-21.6299481,-4.7287975,84.354,13.5639519,-3.7940975,83.4707,-19.2844481,-10.2648975,47.1087,12.3988519,3.1763025,47.6705,-18.6322481,-13.9562975,7.83094,13.2299519,8.5862025,9.00763,-19.8121481,-3.9326975,2.45557,14.4541519,20.1939025,3.90898
2,-2.438359101,1.4333025,93.6949,-2.438359101,1.4333025,93.6949,-20.0769481,6.7267025,137.932,18.2217519,9.2723025,130.642,-21.4788481,-4.8778975,84.3875,13.6968519,-3.6159975,83.3926,-19.1843481,-10.4396975,47.1465,12.4863519,3.2757025,47.6227,-18.6199481,-14.1972975,7.8644,13.2556519,8.3954025,8.94236,-19.8062481,-4.1910975,2.45959,14.4415519,19.9594025,3.76803
2.5,-2.253193101,1.4343025,93.6713,-2.253193101,1.4343025,93.6713,-19.7400481,6.5380025,138.004,18.4474519,9.5594025,130.5,-21.3251481,-5.0269975,84.4229,13.8318519,-3.4393975,83.3206,-19.0814481,-10.6114975,47.1862,12.5750519,3.3703025,47.5788,-18.6071481,-14.4367975,7.9017,13.2851519,8.1964025,8.88125,-19.7998481,-4.4493975,2.46365,14.4334519,19.7189025,3.63689
3,-2.064364101,1.4351025,93.6601,-2.064364101,1.4351025,93.6601,-19.4054481,6.3578025,138.081,18.6734519,9.8520025,130.364,-21.1641481,-5.1760975,84.4705,13.9749519,-3.2732975,83.2748,-18.9711481,-10.7698975,47.2369,12.6701519,3.4412025,47.5512,-18.5943481,-14.6687975,7.95447,13.3234519,7.9756025,8.83728,-19.7882481,-4.7062975,2.46844,14.4422519,19.4670025,3.54912
3.5,-1.875418101,1.4358025,93.6526,-1.875418101,1.4358025,93.6526,-19.0736481,6.1796025,138.16,18.8987519,10.1458025,130.23,-21.0019481,-5.3253975,84.5218,14.1195519,-3.1112975,83.2365,-18.8584481,-10.9235975,47.2902,12.7670519,3.5062025,47.5287,-18.5820481,-14.8983975,8.01204,13.3630519,7.7499025,8.79821,-19.7754481,-4.9622975,2.47346,14.4541519,19.2136025,3.47339
4,-1.686788101,1.4362025,93.6582,-1.686788101,1.4362025,93.6582,-18.7481481,6.0126025,138.244,19.1195519,10.4435025,130.105,-20.8337481,-5.4744975,84.5888,14.2669519,-2.9660975,83.2217,-18.7395481,-11.0609975,47.3553,12.8633519,3.5468025,47.5201,-18.5678481,-15.1204975,8.08493,13.4001519,7.5152025,8.77396,-19.7606481,-5.2156975,2.48094,14.4742519,18.9604025,3.43695
4.5,-1.498878101,1.4364025,93.6693,-1.498878101,1.4364025,93.6693,-18.4254481,5.8511025,138.332,19.3386519,10.7415025,129.985,-20.6651481,-5.6236975,84.6624,14.4150519,-2.8282975,83.2151,-18.6198481,-11.1921975,47.4252,12.9612519,3.5782025,47.517,-18.5547481,-15.3388975,8.1634,13.4351519,7.2780025,8.75438,-19.7444481,-5.4673975,2.4893,14.4968519,18.7083025,3.41317
