[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm)
0,-0.53154045,2.0869205,90.2866,-0.53154045,2.0869205,90.2866,-18.14441045,5.4080205,131.322,19.44448955,-1.0327795,130.645,-18.90021045,3.9479205,81.1688,16.34898955,-2.8654795,78.1633,-14.17872045,-3.4995795,44.6997,10.72278955,18.6340205,44.6949,-13.21664045,-19.9534795,6.80958,10.27358955,12.4359205,5.7896,-16.51711045,-11.3665795,2.32859,13.59438955,22.4594205,1.45589
0.5,-0.39374045,2.0209205,90.4416,-0.39374045,2.0209205,90.4416,-17.98391045,5.4309205,131.507,19.58778955,-1.0095795,130.818,-18.74931045,3.8501205,81.3214,16.53718955,-2.7910795,78.3431,-14.09981045,-3.7690795,44.9004,10.80208955,18.3703205,44.6917,-13.14402045,-20.3259795,7.0294,10.29078955,12.0380205,5.77843,-16.46631045,-11.7900795,2.37869,13.58668955,22.0646205,1.46223
1,-0.25593045,1.9549205,90.5966,-0.25593045,1.9549205,90.5966,-17.82341045,5.4538205,131.692,19.73108955,-0.9864795,130.99,-18.59841045,3.7522205,81.4741,16.72528955,-2.7166795,78.523,-14.02091045,-4.0385795,45.1012,10.88148955,18.1067205,44.6885,-13.07139045,-20.6983795,7.24921,10.30798955,11.6402205,5.76725,-16.41551045,-12.2135795,2.42879,13.57908955,21.6699205,1.46857
1.5,-0.12228045,1.8835205,90.7763,-0.12228045,1.8835205,90.7763,-17.66661045,5.4723205,131.899,19.86958955,-0.9580795,131.197,-18.45081045,3.6334205,81.659,16.90168955,-2.6560795,78.7259,-13.94956045,-4.2659795,45.3199,10.96608955,17.7948205,44.6967,-12.99359045,-21.0495795,7.49959,10.33028955,11.2420205,5.75502,-16.35831045,-12.6294795,2.48572,13.57448955,21.2797205,1.47537
2,0.00989955,1.8103205,90.9659,0.00989955,1.8103205,90.9659,-17.51121045,5.4879205,132.117,20.00598955,-0.9272795,131.416,-18.30561045,3.5063205,81.8573,17.07638955,-2.5999795,78.9368,-13.88352045,-4.4720795,45.5456,11.05358955,17.4622205,44.7096,-12.91375045,-21.3903795,7.7629,10.35338955,10.8432205,5.74217,-16.29861045,-13.0414795,2.54571,13.57048955,20.8903205,1.4817
2.5,0.13875955,1.7344205,91.1673,0.13875955,1.7344205,91.1673,-17.36041045,5.4999205,132.344,20.14158955,-0.8915795,131.652,-18.16201045,3.3691205,82.0721,17.23988955,-2.5533795,79.1597,-13.82195045,-4.6521795,45.7781,11.14308955,17.1026205,44.7275,-12.83314045,-21.7189795,8.04271,10.38108955,10.4458205,5.7283,-16.23521045,-13.4510795,2.6086,13.56718955,20.5047205,1.48694
3,0.26303955,1.6559205,91.3836,0.26303955,1.6559205,91.3836,-17.21361045,5.5045205,132.584,20.27558955,-0.8482795,131.909,-18.02231045,3.2220205,82.3075,17.39028955,-2.5205795,79.3954,-13.77426045,-4.7878795,46.0178,11.23778955,16.7079205,44.7541,-12.75026045,-22.0264795,8.3435,10.40978955,10.0482205,5.71496,-16.16861045,-13.8560795,2.67655,13.56348955,20.1196205,1.49159
3.5,0.38558955,1.5763205,91.6045,0.38558955,1.5763205,91.6045,-17.07051045,5.5060205,132.827,20.41078955,-0.8017795,132.171,-17.88401045,3.0700205,82.5504,17.53668955,-2.4916795,79.6361,-13.73035045,-4.9073795,46.2597,11.33198955,16.2990205,44.7829,-12.66781045,-22.3272795,8.65293,10.44098955,9.6505205,5.70093,-16.10001045,-14.2607795,2.74578,13.55908955,19.7358205,1.495
4,0.50351955,1.4946205,91.8363,0.50351955,1.4946205,91.8363,-16.93171045,5.4975205,133.08,20.54778955,-0.7451795,132.448,-17.74991045,2.9140205,82.8095,17.66658955,-2.4793795,79.8865,-13.70202045,-4.9825795,46.504,11.43078955,15.8577205,44.8189,-12.58402045,-22.6082795,8.98131,10.47488955,9.2509205,5.6878,-16.02521045,-14.6667795,2.81932,13.55228955,19.3509205,1.49705
4.5,0.61950955,1.4123205,92.0712,0.61950955,1.4123205,92.0712,-16.79591045,5.4852205,133.335,20.68648955,-0.6852795,132.729,-17.61741045,2.7555205,83.0735,17.79248955,-2.4720795,80.1398,-13.68221045,-5.0381795,46.7486,11.52888955,15.4043205,44.8577,-12.49974045,-22.8806795,9.3164,10.50878955,8.8494205,5.67562,-15.95021045,-15.0721795,2.89514,13.54428955,18.9645205,1.49862
5,0.73284955,1.3291205,92.3103,0.73284955,1.3291205,92.3103,-16.66301045,5.4623205,133.594,20.82868955,-0.6169795,133.013,-17.48971045,2.5981205,83.345,17.91068955,-2.4747795,80.3963,-13.67572045,-5.0609795,46.9924,11.62948955,14.9287205,44.9011,-12.41538045,-23.1394795,9.66407,10.54488955,8.4436205,5.66372,-15.86701045,-15.4820795,2.97391,13.53328955,18.5747205,1.49907
