[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
5.5,0.452560282,0.391636,93.3087,0.452560282,0.391636,93.3087,-18.85996872,5.177436,133.552,20.21423128,-2.955264,133.053,-16.23046872,0.311936,83.4915,18.03653128,0.598036,83.146,-15.10206872,-10.393464,47.2739,14.39933128,13.621236,46.7138,-14.31186872,-30.974944,15.4414,11.78133128,16.566436,9.38214,-15.20916872,-26.603664,4.76578,13.94163128,26.011336,4.15744
6,0.537761282,0.453436,93.3011,0.537761282,0.453436,93.3011,-18.74516872,5.177436,133.548,20.34823128,-2.888964,132.995,-16.12706872,0.413336,83.4873,18.09953128,0.733536,83.1689,-15.13596872,-10.034764,47.183,14.48453128,13.731036,46.7297,-14.33836872,-31.093134,15.6958,11.78313128,16.139536,9.36855,-15.18766872,-27.027364,4.85806,13.97403128,25.532836,4.08888
6.5,0.619591282,0.512836,93.297,0.619591282,0.512836,93.297,-18.63476872,5.173436,133.55,20.47783128,-2.821064,132.947,-16.02356872,0.511036,83.4836,18.15723128,0.860236,83.1895,-15.17216872,-9.646164,47.0892,14.56683128,13.802136,46.7398,-14.36166872,-31.180234,15.9644,11.77973128,15.703336,9.35226,-15.17196872,-27.434264,4.98163,14.00053128,25.049736,4.0199
7,0.699951282,0.571736,93.3028,0.699951282,0.571736,93.3028,-18.52936872,5.172136,133.567,20.60693128,-2.750664,132.915,-15.91966872,0.603736,83.4841,18.21473128,0.980836,83.2222,-15.21476872,-9.224564,46.9917,14.64763128,13.836936,46.7483,-14.38166872,-31.233854,16.2445,11.77673128,15.248936,9.34594,-15.15336872,-27.830164,5.11843,14.03383128,24.557336,3.98643
7.5,0.779161282,0.628636,93.3136,0.779161282,0.628636,93.3136,-18.42706872,5.167136,133.59,20.73483128,-2.677264,132.892,-15.81876872,0.693736,83.4864,18.27443128,1.093636,83.2589,-15.25906872,-8.781164,46.894,14.72743128,13.841636,46.7545,-14.40046872,-31.262724,16.5376,11.77583128,14.783136,9.34186,-15.13596872,-28.206064,5.27832,14.06743128,24.057936,3.96332
8,0.856171282,0.681536,93.3281,0.856171282,0.681536,93.3281,-18.32966872,5.154736,133.62,20.85953128,-2.602764,132.879,-15.71976872,0.778136,83.4897,18.33453128,1.195436,83.2945,-15.30186872,-8.311364,46.7955,14.80233128,13.805536,46.7545,-14.41526872,-31.258234,16.8448,11.77403128,14.312636,9.33593,-15.12236872,-28.555264,5.47324,14.09683128,23.557536,3.93926
8.5,0.930391282,0.731436,93.3503,0.930391282,0.731436,93.3503,-18.23816872,5.140236,133.662,20.98173128,-2.525764,132.881,-15.62146872,0.857536,83.4956,18.39413128,1.286236,83.3357,-15.34906872,-7.812864,46.6949,14.87203128,13.727036,46.7494,-14.42626872,-31.219954,17.1645,11.76763128,13.826536,9.33263,-15.11106872,-28.886424,5.6924,14.12713128,23.049136,3.93632
9,1.004421282,0.778936,93.376,1.004421282,0.778936,93.376,-18.15016872,5.120836,133.707,21.10303128,-2.446464,132.889,-15.52886872,0.935536,83.5024,18.46363128,1.367836,83.3817,-15.39576872,-7.302864,46.5987,14.93943128,13.625936,46.7427,-14.43656872,-31.160954,17.4915,11.76543128,13.334536,9.33073,-15.09946872,-29.190554,5.92804,14.15453128,22.537536,3.9344
9.5,1.076711282,0.821036,93.4052,1.076711282,0.821036,93.4052,-18.06616872,5.091236,133.757,21.22103128,-2.366364,132.905,-15.44046872,1.007136,83.5107,18.53683128,1.435536,83.4261,-15.43786872,-6.769964,46.5042,14.99983128,13.482536,46.7298,-14.44176872,-31.064654,17.8306,11.76293128,12.840336,9.32638,-15.08976872,-29.453234,6.20015,14.17933128,22.026036,3.93064
10,1.145291282,0.859036,93.4393,1.145291282,0.859036,93.4393,-17.98796872,5.056136,133.816,21.33503128,-2.284664,132.934,-15.35576872,1.075736,83.5196,18.60893128,1.489536,83.4718,-15.48206872,-6.218464,46.4128,15.05323128,13.301836,46.7123,-14.44346872,-30.938274,18.178,11.75453128,12.334236,9.32075,-15.08426872,-29.687014,6.49555,14.19963128,21.508036,3.93203
