[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm)
0,-0.52701088,-0.3201345,91.6071,-0.52701088,-0.3201345,91.6071,-21.93512188,10.1902655,130.104,18.58167812,11.5316655,127.304,-18.33352188,-11.7124345,83.1934,19.13187812,-13.6881345,86.6083,-15.02752188,-0.9970345,45.2522,16.46127812,-2.4778345,48.5651,-13.03172188,-18.5265345,8.3217,12.76987812,3.7725655,9.9246,-16.82032188,-7.2436345,2.24757,12.89457812,15.5137655,2.45563
0.5,-0.37013288,-0.2420345,91.5214,-0.37013288,-0.2420345,91.5214,-21.72412188,10.3287655,130.032,18.77827812,11.7544655,127.113,-18.19512188,-11.6646345,83.1528,19.30447812,-13.6566345,86.5399,-14.91652188,-0.9629345,45.2002,16.56017812,-2.5655345,48.4841,-13.00582188,-18.6507345,8.33838,12.77697812,3.6890655,9.87984,-16.81482188,-7.3842345,2.2514,12.90217812,15.4310655,2.44989
1,-0.21221188,-0.1643345,91.4365,-0.21221188,-0.1643345,91.4365,-21.51182188,10.4700655,129.96,18.97637812,11.9768655,126.921,-18.05472188,-11.6172345,83.113,19.47747812,-13.6277345,86.4744,-14.80532188,-0.9306345,45.1498,16.65937812,-2.6568345,48.404,-12.98022188,-18.7750345,8.3551,12.78337812,3.6032655,9.83461,-16.80802188,-7.5252345,2.25463,12.91197812,15.3472655,2.44511
1.5,-0.04651188,-0.0912345,91.3594,-0.04651188,-0.0912345,91.3594,-21.29492188,10.6402655,129.885,19.18787812,12.1979655,126.73,-17.89922188,-11.5709345,83.0816,19.65027812,-13.6259345,86.436,-14.68092188,-0.9218345,45.1109,16.76347812,-2.7903345,48.3351,-12.97002188,-18.9028345,8.37858,12.80007812,3.4976655,9.79716,-16.79782188,-7.6733345,2.2529,12.93987812,15.2504655,2.45266
2,0.12154112,-0.0191345,91.2836,0.12154112,-0.0191345,91.2836,-21.07622188,10.8150655,129.81,19.40237812,12.4178655,126.54,-17.73782188,-11.5256345,83.0517,19.82427812,-13.6283345,86.4017,-14.55602188,-0.9170345,45.0741,16.86937812,-2.9282345,48.2673,-12.96102188,-19.0311345,8.40197,12.81587812,3.3893655,9.75926,-16.78612188,-7.8224345,2.25028,12.97037812,15.1519655,2.46108
2.5,0.29663585,0.0476655,91.2138,0.29663585,0.0476655,91.2138,-20.85032188,11.0129655,129.731,19.62827812,12.6326655,126.353,-17.55852188,-11.4840345,83.0316,19.99387812,-13.6565345,86.3864,-14.42212188,-0.9347345,45.0465,16.98257812,-3.0926345,48.2077,-12.96562188,-19.1640345,8.42963,12.83147812,3.2702655,9.72651,-16.77432188,-7.9769345,2.24404,12.99967812,15.0451655,2.46831
3,0.47439712,0.1134655,91.1456,0.47439712,0.1134655,91.1456,-20.62262188,11.2163655,129.651,19.85747812,12.8455655,126.166,-17.37192188,-11.4438345,83.014,20.16377812,-13.6895345,86.3746,-14.28782188,-0.9580345,45.0209,17.09997812,-3.2598345,48.1495,-12.97202188,-19.2986345,8.45738,12.84827812,3.1489655,9.69574,-16.76282188,-8.1329345,2.23789,13.02937812,14.9369655,2.47546
3.5,0.65579512,0.1745655,91.081,0.65579512,0.1745655,91.081,-20.38392188,11.4363655,129.567,20.09397812,13.0506655,125.981,-17.17662188,-11.4092345,83.0069,20.32257812,-13.7425345,86.3711,-14.15182188,-0.9987345,45.0019,17.22467812,-3.4346345,48.0977,-12.98392188,-19.4375345,8.48678,12.85837812,3.0245655,9.66827,-16.75342188,-8.2910345,2.23077,13.04557812,14.8241655,2.47267
4,0.83843412,0.2352655,91.0175,0.83843412,0.2352655,91.0175,-20.14322188,11.6617655,129.483,20.33367812,13.2531655,125.798,-16.97952188,-11.3762345,83.0033,20.47847812,-13.7984345,86.3676,-14.01642188,-1.0442345,44.9839,17.35327812,-3.6074345,48.0478,-12.99672188,-19.5793345,8.51721,12.87307812,2.9001655,9.64674,-16.74722188,-8.4507345,2.22601,13.05867812,14.7109655,2.46853
4.5,1.02089912,0.2929655,90.9556,1.02089912,0.2929655,90.9556,-19.88832188,11.8967655,129.396,20.57827812,13.4463655,125.614,-16.78802188,-11.3499345,83.0091,20.61847812,-13.8646345,86.3632,-13.88692188,-1.0987345,44.9709,17.48417812,-3.7718345,48.003,-13.00532188,-19.7241345,8.54839,12.87867812,2.7775655,9.62623,-16.74302188,-8.6095345,2.22302,13.05627812,14.5960655,2.45285
5,1.20187512,0.3512655,90.8939,1.20187512,0.3512655,90.8939,-19.63022188,12.1358655,129.309,20.82717812,13.6357655,125.429,-16.60742188,-11.3256345,83.0186,20.75197812,-13.9294345,86.3536,-13.76002188,-1.1539345,44.9583,17.61367812,-3.9279345,47.9607,-13.01252188,-19.8723345,8.58288,12.89137812,2.6575655,9.61471,-16.74412188,-8.7693345,2.22455,13.04867812,14.4819655,2.43535
