[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat9,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,1.351255,-0.929379,93.050735,-2.051777,1.322239,92.218208,-15.14806,-1.345036,134.352432,18.227566,3.263313,132.575363,-16.364485,-3.034721,84.378433,14.201603,-0.914833,80.780098,-16.756733,6.237499,48.471455,13.151985,13.334381,45.408619,-16.919569,12.416267,7.369103,8.972862,6.543575,6.168929,-23.748947,21.409309,1.841083,14.188768,14.760231,1.317412
4,1.262021,-0.922409,92.966507,-1.942328,1.326763,92.215935,-15.296383,-1.244194,134.257843,18.431074,3.378513,132.555969,-16.470682,-2.876984,84.259178,14.303164,-0.800137,80.765686,-16.703337,6.180012,48.30072,12.909222,13.325455,45.313187,-16.780439,12.263363,7.197556,8.923071,6.456017,6.09163,-23.702763,21.187935,1.822702,14.158772,14.659145,1.300906
4.5,1.171188,-0.914677,92.8815,-1.830367,1.330563,92.218742,-15.447906,-1.141396,134.161469,18.635708,3.496548,132.5401,-16.578463,-2.718452,84.14003,14.405117,-0.683479,80.756691,-16.647419,6.117092,48.129288,12.678194,13.31662,45.229813,-16.637033,12.10611,7.026396,8.884272,6.324139,6.035852,-23.657579,20.959099,1.810009,14.136276,14.509617,1.297538
5,1.076714,-0.905003,92.795769,-1.714712,1.333267,92.228348,-15.604322,-1.035046,134.063049,18.842697,3.617344,132.528412,-16.690067,-2.557899,84.022461,14.506437,-0.56469,80.754967,-16.587273,6.04195,47.959457,12.466858,13.306484,45.161674,-16.492838,11.948376,6.86015,8.858604,6.146275,6.005557,-23.614374,20.729469,1.806234,14.120377,14.311543,1.307698
5.5,0.977391,-0.892456,92.709656,-1.594683,1.33477,92.249184,-15.767565,-0.922859,133.961777,19.04785,3.741959,132.524796,-16.804752,-2.397724,83.908188,14.607336,-0.443142,80.766106,-16.523466,5.950905,47.792786,12.286629,13.292229,45.117393,-16.347942,11.785034,6.701746,8.854094,5.917698,6.006686,-23.574564,20.49231,1.815368,14.116083,14.059498,1.334157
6,0.875089,-0.878517,92.625031,-1.472817,1.335342,92.275101,-15.935375,-0.808136,133.859451,19.253008,3.86816,132.524902,-16.921488,-2.237804,83.799095,14.707771,-0.321182,80.783501,-16.46081,5.853634,47.631958,12.121637,13.273064,45.082901,-16.205944,11.62225,6.54975,8.857471,5.667812,6.018557,-23.536156,20.257454,1.8279,14.115406,13.78548,1.363553
6.5,0.768518,-0.86216,92.541641,-1.347746,1.334389,92.30957,-16.107704,-0.689518,133.755875,19.456232,3.99649,132.530899,-17.04117,-2.078537,83.69548,14.806999,-0.199165,80.81208,-16.398771,5.745041,47.478695,11.990839,13.240143,45.063469,-16.072817,11.4627,6.409153,8.873102,5.403202,6.041636,-23.499023,20.028816,1.845115,14.11981,13.498646,1.394573
7,0.658046,-0.842999,92.462837,-1.221128,1.332211,92.351257,-16.284634,-0.566456,133.653473,19.656588,4.125839,132.542389,-17.162228,-1.923458,83.602882,14.905514,-0.077423,80.849564,-16.3423,5.62608,47.338413,11.882652,13.196819,45.055656,-15.950882,11.301552,6.283146,8.897638,5.129742,6.073032,-23.465023,19.803726,1.866807,14.127649,13.204262,1.425473
7.5,0.543541,-0.822033,92.387611,-1.092857,1.328236,92.39933,-16.46624,-0.440315,133.550644,19.853735,4.255493,132.558838,-17.285316,-1.770172,83.520119,15.003645,0.042435,80.895958,-16.291895,5.500572,47.209961,11.800673,13.136803,45.056141,-15.84026,11.142754,6.169348,8.928596,4.855709,6.105075,-23.433458,19.585243,1.888837,14.138563,12.9119,1.450943
8,0.425748,-0.79845,92.317581,-0.963701,1.32188,92.454216,-16.650093,-0.310677,133.44989,20.047163,4.385452,132.5802,-17.410112,-1.621361,83.448738,15.10026,0.159348,80.951561,-16.249104,5.366127,47.096165,11.748394,13.052692,45.06263,-15.747688,10.985806,6.072358,8.961744,4.594082,6.132516,-23.404497,19.374718,1.910901,14.151453,12.635509,1.470226
8.5,0.304904,-0.772816,92.256454,-0.833773,1.313778,92.514122,-16.836493,-0.178284,133.354202,20.237513,4.514351,132.605637,-17.534975,-1.480022,83.393501,15.197371,0.274082,81.01368,-16.219658,5.224064,47.001225,11.714985,12.953003,45.073387,-15.674129,10.82502,5.992458,8.997839,4.340034,6.157509,-23.380463,19.169029,1.930688,14.164597,12.370201,1.483123
9,0.181683,-0.745781,92.199333,-0.704311,1.30254,92.579704,-17.024433,-0.043549,133.259079,20.421108,4.641567,132.635803,-17.660889,-1.34182,83.348068,15.294357,0.38343,81.083488,-16.198341,5.077633,46.918636,11.708036,12.824753,45.085693,-15.6143,10.665337,5.924711,9.031532,4.102779,6.172733,-23.359268,18.967712,1.948728,14.18026,12.124397,1.487949
9.5,0.056462,-0.71656,92.153267,-0.574768,1.288864,92.64962,-17.212709,0.092728,133.171982,20.603498,4.76688,132.669113,-17.787416,-1.213257,83.320145,15.389986,0.488853,81.158417,-16.192598,4.923386,46.856911,11.718775,12.675575,45.099018,-15.577896,10.500107,5.875913,9.062885,3.878513,6.180888,-23.343615,18.770569,1.962575,14.19474,11.895279,1.485795
10,-0.069808,-0.686611,92.116226,-0.445642,1.272015,92.72406,-17.399948,0.230221,133.090836,20.779451,4.888813,132.70668,-17.913059,-1.093594,83.30719,15.487612,0.588902,81.238846,-16.202295,4.763618,46.812298,11.747688,12.501423,45.111385,-15.559458,10.327854,5.84084,9.091644,3.668591,6.181224,-23.333641,18.573364,1.971736,14.210398,11.683388,1.478227
10.5,-0.197147,-0.655678,92.084869,-0.317937,1.25161,92.802643,-17.586445,0.369072,133.013306,20.950983,5.006489,132.747894,-18.039518,-0.979134,83.304291,15.584909,0.682278,81.323227,-16.221691,4.600338,46.779697,11.791744,12.301842,45.122299,-15.554478,10.153111,5.816479,9.114592,3.46804,6.173923,-23.328049,18.376747,1.978841,14.226633,11.482861,1.466023
11,-0.324109,-0.624275,92.067528,-0.19051,1.228951,92.884171,-17.770216,0.506393,132.948471,21.121344,5.121044,132.791428,-18.165356,-0.878838,83.318489,15.681805,0.771294,81.410606,-16.259081,4.428764,46.76709,11.848625,12.083607,45.133099,-15.569832,9.964146,5.806476,9.133547,3.277206,6.160614,-23.329721,18.175514,1.979656,14.240582,11.294701,1.449135
11.5,-0.450685,-0.592728,92.056496,-0.064901,1.202049,92.969627,-17.951227,0.644218,132.888458,21.284309,5.228359,132.839478,-18.291019,-0.786366,83.341934,15.779949,0.852451,81.500504,-16.307503,4.255329,46.764526,11.91371,11.843311,45.141884,-15.595034,9.768265,5.803532,9.148397,3.086914,6.144579,-23.335733,17.970879,1.977644,14.256985,11.107464,1.4336
12,-0.576769,-0.561131,92.05349,0.05991,1.172199,93.058449,-18.129793,0.78054,132.836609,21.446348,5.330265,132.890823,-18.416552,-0.703316,83.37458,15.878405,0.927975,81.592857,-16.36651,4.076233,46.772705,11.985838,11.585274,45.151089,-15.629835,9.564045,5.807855,9.159555,2.896008,6.126548,-23.346565,17.761566,1.973469,14.27133,10.921623,1.41584
12.5,-0.700543,-0.53056,92.061554,0.183201,1.139675,93.149925,-18.302986,0.914238,132.79689,21.604664,5.425549,132.94519,-18.541998,-0.635017,83.416466,15.97657,0.997265,81.686234,-16.436798,3.890453,46.791168,12.064779,11.31163,45.161098,-15.67304,9.344212,5.816766,9.166964,2.703205,6.107976,-23.363558,17.541954,1.965461,14.284719,10.733967,1.399623
13,-0.823787,-0.50008,92.074249,0.305233,1.104263,93.244232,-18.474203,1.047344,132.761719,21.759647,5.513176,133.003494,-18.667326,-0.573997,83.463654,16.073761,1.060917,81.780556,-16.514721,3.703247,46.81522,12.142414,11.028896,45.172329,-15.719872,9.118362,5.828849,9.173643,2.501289,6.092859,-23.382944,17.318741,1.956497,14.297762,10.537109,1.386351
13.5,-0.94477,-0.470745,92.094604,0.426247,1.066147,93.34156,-18.640863,1.176884,132.736938,21.91328,5.59351,133.065659,-18.792433,-0.52599,83.51461,16.171858,1.119049,81.876579,-16.598333,3.508492,46.844212,12.222504,10.733601,45.186584,-15.767241,8.881195,5.84137,9.17906,2.290047,6.080583,-23.405479,17.086609,1.946747,14.309219,10.331886,1.374263
14,-1.063878,-0.442226,92.12043,0.545318,1.025932,93.441498,-18.804312,1.303818,132.719818,22.063837,5.66404,133.132278,-18.9186,-0.488461,83.567139,16.267761,1.171417,81.972649,-16.684422,3.311142,46.874336,12.29965,10.432873,45.204838,-15.813898,8.635799,5.852673,9.184856,2.067253,6.073987,-23.430687,16.84761,1.936568,14.31855,10.114464,1.36626
14.5,-1.181952,-0.413963,92.149094,0.663568,0.984005,93.543594,-18.966328,1.428879,132.706314,22.211966,5.727688,133.203217,-19.044069,-0.459011,83.620972,16.362238,1.220333,82.069847,-16.77528,3.111492,46.906445,12.372274,10.129074,45.227013,-15.857445,8.385414,5.863151,9.191881,1.835777,6.072011,-23.455826,16.605255,1.926559,14.325859,9.888271,1.359604
15,-1.297122,-0.3871,92.182755,0.779903,0.939884,93.648407,-19.123556,1.550034,132.70282,22.358311,5.780792,133.279129,-19.170534,-0.444283,83.671501,16.455395,1.263641,82.167984,-16.862957,2.90554,46.936005,12.440205,9.820339,45.254791,-15.894064,8.1273,5.86919,9.200859,1.589352,6.076492,-23.480482,16.355385,1.918071,14.332312,9.647396,1.356583
15.5,-1.411356,-0.360264,92.217461,0.894961,0.895031,93.754593,-19.280733,1.668964,132.701706,22.502766,5.826412,133.3591,-19.297203,-0.43528,83.720612,16.545944,1.304058,82.266281,-16.949678,2.698669,46.963963,12.500515,9.512665,45.286709,-15.926662,7.868237,5.872911,9.211739,1.336365,6.085522,-23.504953,16.10434,1.910624,14.335409,9.399731,1.354422
16,-1.523853,-0.33366,92.252579,1.008524,0.84893,93.862251,-19.437027,1.786236,132.702408,22.643448,5.86459,133.443878,-19.423258,-0.434479,83.765884,16.63443,1.34177,82.365494,-17.034607,2.490364,46.989052,12.554136,9.204277,45.323227,-15.952339,7.607269,5.87326,9.224829,1.077534,6.097769,-23.526848,15.852005,1.904067,14.337708,9.146282,1.353256
16.5,-1.634402,-0.307262,92.28833,1.119842,0.80175,93.971519,-19.591284,1.900013,132.708008,22.782595,5.892185,133.534393,-19.550125,-0.444656,83.805557,16.718842,1.375374,82.465363,-17.113525,2.278732,47.009109,12.59635,8.896645,45.364883,-15.970589,7.346687,5.869469,9.239479,0.81036,6.114722,-23.545137,15.598579,1.899738,14.338079,8.88496,1.353496
17,-1.74381,-0.280273,92.323006,1.230082,0.754482,94.080574,-19.746553,2.012253,132.712616,22.919575,5.914799,133.627899,-19.676535,-0.458748,83.842583,16.801743,1.407421,82.564957,-17.190346,2.067673,47.027153,12.63121,8.590893,45.409168,-15.984823,7.088409,5.863672,9.256212,0.543079,6.13309,-23.562286,15.346809,1.896431,14.336271,8.623459,1.352451
17.5,-1.851221,-0.252728,92.355423,1.337638,0.706131,94.189758,-19.9025,2.123112,132.716171,23.051088,5.929066,133.726349,-19.801914,-0.480289,83.873123,16.880539,1.436783,82.664665,-17.261017,1.858257,47.04023,12.653999,8.285061,45.455799,-15.992758,6.834373,5.85551,9.27338,0.276619,6.150777,-23.574335,15.098396,1.894105,14.335321,8.36348,1.352189
18,-1.956914,-0.224346,92.385109,1.443483,0.657497,94.298737,-20.058569,2.231995,132.717789,23.18116,5.937401,133.82843,-19.926645,-0.507366,83.89933,16.95644,1.463902,82.76442,-17.328451,1.648201,47.049988,12.667252,7.980556,45.504356,-15.997597,6.584503,5.845718,9.290003,0.010082,6.168954,-23.582958,14.853024,1.892994,14.333216,8.103752,1.350542
18.5,-2.060965,-0.194881,92.413132,1.547328,0.608639,94.405495,-20.215353,2.340019,132.717407,23.307398,5.941429,133.932053,-20.05056,-0.537228,83.922729,17.030016,1.488773,82.862419,-17.392704,1.440899,47.057995,12.672115,7.67638,45.552513,-16.001524,6.338867,5.835902,9.307453,-0.251442,6.185638,-23.58997,14.610542,1.892248,14.331844,7.849083,1.348651
19,-2.162642,-0.164242,92.436615,1.648538,0.559097,94.510071,-20.37359,2.446831,132.711304,23.428148,5.940357,134.037994,-20.172096,-0.57188,83.941299,17.099995,1.51165,82.95874,-17.453529,1.236107,47.062649,12.665325,7.37149,45.598942,-16.00321,6.099648,5.825717,9.321489,-0.507408,6.198154,-23.592688,14.373577,1.891529,14.332644,7.600903,1.346833
19.5,-2.262039,-0.132305,92.456551,1.747981,0.509422,94.612373,-20.531219,2.552776,132.700134,23.547243,5.936283,134.144669,-20.292568,-0.60886,83.957184,17.168034,1.531986,83.053551,-17.51403,1.033386,47.066097,12.652822,7.066669,45.644764,-16.006201,5.864521,5.816271,9.333981,-0.759552,6.208795,-23.593279,14.14019,1.890706,14.333641,7.356598,1.343623
20,-2.359338,-0.099091,92.474709,1.844954,0.459202,94.710213,-20.689711,2.657986,132.685303,23.661034,5.929688,134.250107,-20.410751,-0.647522,83.972275,17.233999,1.549328,83.144791,-17.57468,0.836555,47.070309,12.632782,6.760216,45.687134,-16.011389,5.634258,5.8085,9.344181,-1.005634,6.216243,-23.593254,13.909538,1.889738,14.338127,7.118374,1.342204
20.5,-2.45295,-0.064537,92.486931,1.93979,0.408482,94.804413,-20.847937,2.762398,132.6604,23.770807,5.921558,134.354324,-20.525656,-0.688984,83.984482,17.298389,1.564919,83.232956,-17.636091,0.642845,47.072777,12.606367,6.453033,45.725502,-16.01878,5.40884,5.802196,9.351311,-1.247845,6.2202,-23.591158,13.684219,1.88749,14.345148,6.884541,1.341211
21,-2.544142,-0.029045,92.496834,2.032518,0.357601,94.893509,-21.004335,2.865833,132.631073,23.877874,5.912029,134.455063,-20.639116,-0.730816,83.996246,17.361225,1.576385,83.316978,-17.699558,0.452343,47.076168,12.578638,6.144905,45.76194,-16.02932,5.185898,5.797379,9.354513,-1.48658,6.221596,-23.588917,13.460365,1.8846,14.353167,6.65403,1.340693
21.5,-2.632469,0.007137,92.504898,2.122908,0.30616,94.976204,-21.159212,2.968639,132.596573,23.979807,5.90313,134.550446,-20.749794,-0.7742,84.008492,17.423555,1.584789,83.395813,-17.76638,0.267284,47.081245,12.549139,5.835678,45.793198,-16.042574,4.964596,5.793815,9.356476,-1.723988,6.22191,-23.587502,13.237362,1.881304,14.366306,6.424267,1.343324
22,-2.716752,0.044167,92.508034,2.211627,0.254391,95.054688,-21.31135,3.070335,132.552261,24.079493,5.894215,134.641968,-20.857483,-0.818153,84.019798,17.485325,1.590572,83.470772,-17.836771,0.085823,47.086437,12.518599,5.526043,45.821388,-16.059624,4.745911,5.792399,9.356136,-1.960785,6.220335,-23.586264,13.017601,1.876499,14.380314,6.195801,1.346623
22.5,-2.798001,0.081432,92.50972,2.297938,0.202534,95.125343,-21.459999,3.170715,132.503571,24.175228,5.885342,134.725342,-20.962923,-0.86277,84.031937,17.54723,1.59137,83.539597,-17.91151,-0.091736,47.093441,12.492567,5.216263,45.8475,-16.078571,4.526829,5.791057,9.351513,-2.19928,6.218107,-23.586351,12.796722,1.871169,14.395695,5.964722,1.352187
23,-2.875917,0.11842,92.510086,2.381989,0.150673,95.189125,-21.603992,3.269566,132.450455,24.268023,5.878204,134.800613,-21.065809,-0.908985,84.044479,17.608997,1.588943,83.602623,-17.989452,-0.265217,47.101727,12.469843,4.908455,45.869648,-16.098953,4.30756,5.790316,9.348568,-2.439503,6.217726,-23.587879,12.575611,1.865727,14.413298,5.731102,1.360158
23.5,-2.949815,0.155434,92.507545,2.464353,0.098885,95.247108,-21.742672,3.367226,132.390121,24.358837,5.872135,134.868515,-21.165916,-0.955292,84.057571,17.671354,1.582916,83.660851,-18.072063,-0.435299,47.111198,12.452637,4.60107,45.890762,-16.120895,4.087692,5.790088,9.343197,-2.683552,6.216841,-23.590967,12.354774,1.859486,14.430529,5.494225,1.368758
24,-3.020963,0.191666,92.504692,2.543998,0.047359,95.297279,-21.875587,3.46262,132.327942,24.444855,5.8661,134.926987,-21.263878,-1.003277,84.071007,17.734684,1.572117,83.713257,-18.157005,-0.602413,47.121559,12.443316,4.296707,45.910763,-16.1418,3.866726,5.788873,9.338417,-2.93211,6.218692,-23.595041,12.132408,1.853202,14.447519,5.251396,1.379103
24.5,-3.088626,0.227417,92.501183,2.621379,-0.003403,95.341049,-22.00256,3.556599,132.262802,24.530144,5.8615,134.976654,-21.359369,-1.052711,84.084869,17.798267,1.558029,83.760658,-18.244028,-0.765835,47.133011,12.440386,3.996204,45.929489,-16.16231,3.644958,5.787444,9.334707,-3.183067,6.222084,-23.600914,11.909542,1.847563,14.462952,5.005974,1.389351
25,-3.152368,0.262035,92.496353,2.696281,-0.053459,95.377899,-22.121092,3.648445,132.193771,24.611746,5.858089,135.01709,-21.452431,-1.103336,84.098839,17.862629,1.540131,83.802803,-18.332855,-0.927025,47.144753,12.446331,3.698868,45.948002,-16.180048,3.420761,5.784492,9.331375,-3.439404,6.227161,-23.607321,11.685143,1.84213,14.476799,4.754826,1.399249
25.5,-3.214167,0.295528,92.492706,2.768141,-0.102608,95.407982,-22.233572,3.737282,132.127594,24.689634,5.853725,135.048981,-21.543072,-1.155758,84.112747,17.928352,1.517864,83.840462,-18.420013,-1.086761,47.156746,12.459957,3.406631,45.966488,-16.195818,3.196659,5.780888,9.3297,-3.6982,6.234361,-23.614256,11.460358,1.83715,14.487007,4.500355,1.408565
26,-3.271359,0.328209,92.488693,2.836844,-0.150166,95.431763,-22.337214,3.82457,132.059387,24.766134,5.850494,135.07222,-21.630732,-1.210369,84.12661,17.99449,1.492317,83.873825,-18.506451,-1.242188,47.169224,12.482025,3.120468,45.985157,-16.20763,2.971157,5.775947,9.329163,-3.958736,6.242715,-23.621857,11.234818,1.833711,14.494076,4.243656,1.415753
26.5,-3.325578,0.35947,92.485725,2.902032,-0.196274,95.449257,-22.43203,3.908497,131.994446,24.837969,5.846619,135.087494,-21.714668,-1.267227,84.140205,18.060341,1.462841,83.90271,-18.589247,-1.396019,47.181347,12.510988,2.839645,46.003571,-16.216068,2.745071,5.770253,9.330544,-4.220112,6.252074,-23.628855,11.008804,1.831128,14.498163,3.985626,1.420904
27,-3.378065,0.39003,92.483765,2.963543,-0.240997,95.461281,-22.522982,3.99073,131.932571,24.90653,5.841339,135.096786,-21.796446,-1.325371,84.153511,18.128057,1.430038,83.928383,-18.668797,-1.549194,47.193279,12.543741,2.565723,46.020988,-16.222734,2.518791,5.764345,9.331154,-4.481499,6.261109,-23.635843,10.782585,1.829296,14.49786,3.726913,1.424202
27.5,-3.425339,0.419655,92.482635,3.020753,-0.283672,95.467667,-22.601391,4.069477,131.873596,24.971142,5.836098,135.099243,-21.873449,-1.386406,84.166664,18.195341,1.393375,83.950462,-18.742607,-1.697517,47.205517,12.584368,2.298851,46.038654,-16.22414,2.293133,5.758124,9.333982,-4.741344,6.270688,-23.641537,10.556919,1.828937,14.494936,3.468994,1.42458
28,-3.470042,0.448231,92.483513,3.073611,-0.324364,95.469063,-22.673889,4.145016,131.821991,25.031437,5.828999,135.096573,-21.945425,-1.449062,84.179276,18.262255,1.353275,83.969002,-18.809162,-1.845329,47.217049,12.626221,2.038658,46.05394,-16.224234,2.067104,5.752538,9.336559,-4.998089,6.278547,-23.646406,10.331215,1.829955,14.48793,3.214127,1.421552
28.5,-3.511963,0.476318,92.485451,3.122523,-0.363548,95.466408,-22.740458,4.218269,131.774445,25.087547,5.820244,135.090744,-22.013996,-1.513233,84.191925,18.330172,1.309994,83.984879,-18.870819,-1.991295,47.229015,12.670462,1.785751,46.067482,-16.222391,1.841873,5.747875,9.337809,-5.252048,6.285228,-23.650471,10.105717,1.831438,14.479681,2.96059,1.417833
29,-3.548411,0.503979,92.489639,3.165623,-0.400303,95.458748,-22.796293,4.287163,131.735825,25.138718,5.809616,135.08046,-22.074579,-1.580112,84.204536,18.397114,1.26239,83.997482,-18.923071,-2.132935,47.240906,12.716328,1.541744,46.078766,-16.21854,1.617413,5.744875,9.339098,-5.50161,6.289953,-23.652897,9.880829,1.834226,14.468685,2.711147,1.411178
29.5,-3.582944,0.531059,92.494934,3.204961,-0.435356,95.448029,-22.84911,4.353817,131.702316,25.185921,5.797432,135.068329,-22.131615,-1.647167,84.216721,18.463451,1.211838,84.006844,-18.969891,-2.274609,47.252678,12.760727,1.30489,46.086555,-16.214518,1.392685,5.742933,9.33897,-5.748089,6.293156,-23.65452,9.655849,1.838024,14.457062,2.46439,1.403423
30,-3.612295,0.557892,92.502548,3.239663,-0.468914,95.433846,-22.892025,4.415699,131.678345,25.228323,5.782688,135.054733,-22.18013,-1.71624,84.229698,18.529083,1.157402,84.013466,-19.008814,-2.412224,47.265617,12.805624,1.075489,46.091164,-16.210917,1.169155,5.744343,9.335577,-5.989433,6.293629,-23.655468,9.430908,1.841859,14.446003,2.220802,1.396569
30.5,-3.63681,0.584515,92.511955,3.26824,-0.500145,95.416046,-22.928638,4.473591,131.663391,25.26548,5.765087,135.03949,-22.220575,-1.786186,84.24234,18.594595,1.098808,84.016632,-19.03867,-2.548317,47.278706,12.846863,0.856922,46.091274,-16.207329,0.945274,5.74774,9.331696,-6.228001,6.292404,-23.654995,9.205818,1.846607,14.434578,1.980114,1.388588
31,-3.659225,0.611038,92.522202,3.294094,-0.530273,95.39592,-22.96154,4.529133,131.652725,25.300133,5.745991,135.023346,-22.257265,-1.856018,84.255463,18.65803,1.036587,84.016304,-19.065556,-2.682434,47.292568,12.887854,0.644386,46.088085,-16.204802,0.721416,5.752655,9.324554,-6.46384,6.289704,-23.654566,8.980301,1.851689,14.425169,1.740807,1.382308
31.5,-3.674788,0.637093,92.534988,3.31464,-0.558926,95.373413,-22.984873,4.578342,131.654526,25.329632,5.723469,135.007416,-22.281488,-1.927139,84.268593,18.719933,0.970367,84.012856,-19.082617,-2.814659,47.307129,12.925968,0.442055,46.080273,-16.204197,0.497131,5.761427,9.3148,-6.697083,6.285437,-23.653639,8.753555,1.856808,14.416794,1.502754,1.377707
32,-3.68685,0.663048,92.548706,3.331357,-0.586094,95.34877,-23.004169,4.624016,131.662064,25.355526,5.698029,134.991058,-22.300163,-1.997673,84.281715,18.781782,0.900391,84.006111,-19.094898,-2.945515,47.322964,12.962048,0.24892,46.069344,-16.203695,0.27256,5.771281,9.304647,-6.928989,6.280727,-23.652077,8.526272,1.861744,14.410408,1.265724,1.37451
32.5,-3.695222,0.688908,92.563087,3.345413,-0.612442,95.322044,-23.017574,4.666153,131.675385,25.380424,5.670696,134.973816,-22.311607,-2.068485,84.295303,18.839655,0.826351,83.995613,-19.103724,-3.074211,47.339161,12.997477,0.062271,46.054905,-16.205063,0.046844,5.782811,9.291044,-7.161133,6.275494,-23.650965,8.297501,1.867149,14.406708,1.02697,1.37453
33,-3.697387,0.714081,92.57943,3.354421,-0.637497,95.293846,-23.023745,4.702286,131.699081,25.399738,5.638569,134.957672,-22.311974,-2.139011,84.308266,18.895817,0.748062,83.981171,-19.104597,-3.203014,47.356628,13.030972,-0.11208,46.036938,-16.2076,-0.179878,5.796671,9.276134,-7.393055,6.270788,-23.650354,8.066948,1.872271,14.404543,0.787136,1.377155
