[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat9,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
-- --(R),1.254,95.71,1.045,83.35,0.209,16.65,0.361,28.77,48.63,12.98,25.48,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.072,,0.057,1.76,0.028,1.76,0.035,1.95,4.84,3.78,0.83,,,,,,,,,,,,,,,,,,,,,,,,,
CV,5.729,,5.421,2.11,13.222,10.55,9.715,6.77,9.94,29.15,3.25,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,1.255,95.59,0.901,71.82,0.352,28.18,0.327,26.73,48.75,35.65,23.15,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.063,,0.051,2,0.029,2,0.034,2.67,3.91,2.34,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
CV,5.056,,5.693,2.79,8.247,7.11,10.444,10,8.01,6.56,5.41,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm)
0,1.909831,-0.945671,93.558128,-2.686286,1.24762,92.417908,-14.235823,-1.951302,134.930328,16.949554,2.597584,132.820526,-15.704561,-4.038536,85.110916,13.539787,-1.570713,81.017197,-16.90873,6.248627,49.474438,15.055092,13.473255,46.484764,-17.560349,13.043663,8.435146,9.719248,4.64883,7.939314,-24.198805,22.25663,2.321857,14.783817,12.646267,2.376467
0.5,1.834332,-0.94524,93.49456,-2.60841,1.263611,92.378151,-14.356504,-1.873417,134.855255,17.109871,2.677021,132.780731,-15.792128,-3.907604,85.019989,13.62557,-1.494629,80.980103,-16.908695,6.284374,49.357269,14.792423,13.453747,46.31216,-17.507925,13.018383,8.307558,9.589146,5.192913,7.563291,-24.11981,22.235268,2.223353,14.660067,13.262833,2.118613
1,1.758208,-0.944412,93.428543,-2.527522,1.278187,92.340416,-14.479099,-1.793278,134.778397,17.276339,2.760586,132.741623,-15.880926,-3.773136,84.924942,13.71401,-1.413692,80.942856,-16.903141,6.310398,49.232384,14.524193,13.43227,46.141487,-17.445818,12.973827,8.172292,9.46163,5.670406,7.216708,-24.04483,22.184685,2.131583,14.545099,13.801064,1.887952
1.5,1.679363,-0.942722,93.357498,-2.439299,1.289558,92.307022,-14.607372,-1.708233,134.697372,17.458012,2.85371,132.702881,-15.973625,-3.631069,84.821915,13.808332,-1.321861,80.904427,-16.885458,6.314789,49.091583,14.243847,13.408249,45.975159,-17.358892,12.887039,8.02063,9.344042,5.988052,6.939401,-23.97897,22.068916,2.055892,14.451595,14.154697,1.719951
2,1.600478,-0.94101,93.286301,-2.350147,1.300365,92.275192,-14.735674,-1.623062,134.616226,17.639778,2.947174,132.665817,-16.066526,-3.488857,84.718712,13.903181,-1.22937,80.86731,-16.867435,6.31863,48.950459,13.96452,13.384544,45.812008,-17.271606,12.799763,7.868852,9.230995,6.283226,6.671371,-23.913197,21.9524,1.980627,14.362963,14.483356,1.558686
2.5,1.519188,-0.937851,93.2099,-2.254652,1.308968,92.250839,-14.869658,-1.532806,134.530579,17.83144,3.048416,132.632462,-16.163452,-3.340137,84.607956,14.00094,-1.128613,80.834335,-16.836315,6.301098,48.795929,13.687719,13.364941,45.665211,-17.16437,12.683777,7.706138,9.131639,6.449207,6.466608,-23.855425,21.790977,1.92474,14.292204,14.664021,1.449981
3,1.435716,-0.933956,93.130875,-2.154031,1.315891,92.233368,-15.008053,-1.439697,134.442108,18.028418,3.155109,132.603271,-16.263042,-3.188248,84.493561,14.101246,-1.022427,80.806252,-16.798147,6.272343,48.634445,13.417583,13.349358,45.534073,-17.043495,12.551476,7.537584,9.050035,6.511292,6.310427,-23.801535,21.602554,1.880211,14.238594,14.728672,1.378576
