[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
5.5,-0.016413762,-0.315161,103.246,-0.016413762,-0.315161,103.246,-21.37203376,0.633139,148.362,21.92486624,-0.522061,147.376,-18.88093376,-2.484261,92.6266,18.28626624,1.178539,90.67,-15.08723376,-10.597861,53.5025,14.95186624,14.577539,52.9363,-10.94122376,-34.321761,14.3189,10.40206624,20.387339,8.93677,-14.05493376,-26.969461,4.78635,13.42906624,31.764239,3.81977
6,0.045966238,-0.299261,103.256,0.045966238,-0.299261,103.256,-21.28123376,0.601539,148.367,22.02166624,-0.512961,147.342,-18.82633376,-2.392361,92.6248,18.30586624,1.255439,90.7247,-15.02763376,-10.191061,53.4506,15.01556624,14.504639,52.9338,-10.95358376,-34.510761,14.6699,10.43036624,19.902339,8.92185,-14.06313376,-27.469761,4.89834,13.44046624,31.234739,3.70507
6.5,0.108756238,-0.281361,103.272,0.108756238,-0.281361,103.272,-21.18853376,0.569739,148.38,22.11676624,-0.503661,147.316,-18.77033376,-2.300961,92.6246,18.32506624,1.326739,90.7875,-14.97263376,-9.754461,53.3953,15.08426624,14.430139,52.9386,-10.96598376,-34.670161,15.0365,10.46146624,19.413139,8.91203,-14.06753376,-27.959461,5.02704,13.45496624,30.704239,3.60796
7,0.169656238,-0.259561,103.305,0.169656238,-0.259561,103.305,-21.09853376,0.537639,148.415,22.20866624,-0.495561,147.309,-18.71203376,-2.211561,92.6297,18.34136624,1.380639,90.8708,-14.93213376,-9.242661,53.3355,15.15936624,14.349739,52.9612,-10.97973376,-34.749061,15.4428,10.49306624,18.913039,8.91447,-14.06613376,-28.423461,5.20228,13.47186624,30.171639,3.55641
7.5,0.230346238,-0.236461,103.344,0.230346238,-0.236461,103.344,-21.00893376,0.504839,148.458,22.30016624,-0.486961,147.309,-18.65453376,-2.121561,92.6362,18.35866624,1.427239,90.9602,-14.89483376,-8.705461,53.2734,15.23656624,14.266339,52.9888,-10.99266376,-34.800361,15.8622,10.52506624,18.408839,8.92058,-14.06313376,-28.876561,5.39406,13.48816624,29.637539,3.51824
8,0.291006238,-0.213161,103.385,0.291006238,-0.213161,103.385,-20.91873376,0.471539,148.506,22.39056624,-0.478261,147.312,-18.59653376,-2.032661,92.6421,18.37616624,1.469839,91.0521,-14.86103376,-8.155061,53.2084,15.31506624,14.179939,53.0182,-11.00412376,-34.835061,16.2888,10.55716624,17.901139,8.92776,-14.05673376,-29.319761,5.59572,13.50506624,29.101539,3.48625
8.5,0.349216238,-0.188461,103.438,0.349216238,-0.188461,103.438,-20.83133376,0.435039,148.574,22.47826624,-0.469561,147.333,-18.54063376,-1.947561,92.6499,18.39686624,1.494139,91.1553,-14.84653376,-7.544261,53.1374,15.39436624,14.075039,53.0548,-11.01605376,-34.783661,16.7512,10.58476624,17.379039,8.93919,-14.04493376,-29.713561,5.85109,13.52316624,28.556639,3.48444
9,0.406106238,-0.163461,103.497,0.406106238,-0.163461,103.497,-20.74653376,0.396739,148.652,22.56456624,-0.460061,147.363,-18.48703376,-1.863861,92.6583,18.42176624,1.509039,91.2613,-14.84013376,-6.908361,53.064,15.47216624,13.958939,53.0926,-11.02787376,-34.691861,17.2284,10.60846624,16.850839,8.95147,-14.03183376,-30.080261,6.13199,13.53986624,28.006839,3.49272
9.5,0.462656238,-0.138661,103.557,0.462656238,-0.138661,103.557,-20.66183376,0.357639,148.732,22.65006624,-0.450361,147.394,-18.43393376,-1.781161,92.6662,18.44736624,1.520439,91.3678,-14.83653376,-6.264761,52.9895,15.54966624,13.838839,53.1305,-11.03835376,-34.586661,17.7097,10.63146624,16.319839,8.96378,-14.01663376,-30.435761,6.42055,13.55626624,27.455139,3.50343
10,0.517206238,-0.115161,103.622,0.517206238,-0.115161,103.622,-20.58053376,0.314039,148.824,22.73386624,-0.439461,147.437,-18.38443376,-1.704361,92.6734,18.48036624,1.517839,91.4751,-14.84893376,-5.588661,52.913,15.62326624,13.691239,53.1653,-11.04714376,-34.409361,18.2113,10.64876624,15.774639,8.97473,-13.99553376,-30.723161,6.75094,13.57116624,26.892139,3.52358
