[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm)
0,-3.69557956,1.8130015,92.3427,-3.69557956,1.8130015,92.3427,-20.55849956,11.5788015,132.206,18.93500044,5.1290015,138.747,-25.01699956,-5.4037985,82.868,13.39460044,-2.1364985,78.0533,-23.81509956,-13.7401985,45.7434,12.27250044,11.6485015,42.6449,-20.81589956,-18.3075985,6.10945,8.50000044,6.4204015,4.74591,-24.08299956,-9.1194985,1.16855,11.22300044,14.3927015,1.35725
0.5,-3.59535956,1.8051015,92.304,-3.59535956,1.8051015,92.304,-20.42059956,11.5933015,132.199,19.10880044,5.1557015,138.677,-24.91979956,-5.3631985,82.8618,13.47450044,-2.0903985,77.9898,-23.75529956,-13.7798985,45.7683,12.26430044,11.5148015,42.5162,-20.80839956,-18.5479985,6.15085,8.45480044,6.2304015,4.64807,-24.06919956,-9.3783985,1.17024,11.27470044,14.1589015,1.25475
1,-3.49498956,1.7972015,92.2656,-3.49498956,1.7972015,92.2656,-20.28249956,11.6081015,132.192,19.28270044,5.1825015,138.608,-24.82259956,-5.3227985,82.8557,13.55460044,-2.0444985,77.9265,-23.69549956,-13.8193985,45.7933,12.25630044,11.3815015,42.3881,-20.80089956,-18.7884985,6.19241,8.41000044,6.0392015,4.55093,-24.05559956,-9.6373985,1.17215,11.32690044,13.9238015,1.15299
1.5,-3.38195956,1.7925015,92.2475,-3.38195956,1.7925015,92.2475,-20.11679956,11.6410015,132.204,19.47200044,5.2122015,138.549,-24.72319956,-5.2828985,82.8682,13.64140044,-2.0123985,77.8866,-23.63419956,-13.8482985,45.8315,12.26330044,11.2882015,42.3047,-20.79649956,-19.0301985,6.25172,8.38800044,5.7907015,4.50356,-24.04409956,-9.9030985,1.17852,11.39150044,13.6296015,1.10079
2,-3.26766956,1.7882015,92.2315,-3.26766956,1.7882015,92.2315,-19.94839956,11.6757015,132.219,19.66250044,5.2421015,138.491,-24.62329956,-5.2433985,82.8825,13.72880044,-1.9814985,77.849,-23.57289956,-13.8761985,45.8706,12.27230044,11.1985015,42.2256,-20.79289956,-19.2717985,6.31257,8.36870044,5.5381015,4.46077,-24.03289956,-10.1688985,1.1853,11.45710044,13.3314015,1.05303
2.5,-3.14269956,1.7871015,92.2344,-3.14269956,1.7871015,92.2344,-19.75959956,11.7295015,132.249,19.86420044,5.2738015,138.446,-24.52049956,-5.2095985,82.9164,13.82420044,-1.9610985,77.8346,-23.50509956,-13.8988985,45.9228,12.29590044,11.1303015,42.1824,-20.78979956,-19.5142985,6.38939,8.36900044,5.2783015,4.45141,-24.02439956,-10.4405985,1.19701,11.51640044,13.0288015,1.04005
3,-3.01527956,1.7867015,92.2413,-3.01527956,1.7867015,92.2413,-19.56559956,11.7874015,132.281,20.06830044,5.3057015,138.405,-24.41649956,-5.1771985,82.9544,13.92080044,-1.9428985,77.8252,-23.43669956,-13.9199985,45.9773,12.32340044,11.0660015,42.1463,-20.78779956,-19.7563985,6.4697,8.37390044,5.0187015,4.44863,-24.01589956,-10.7129985,1.20941,11.57400044,12.7272015,1.03339
3.5,-2.87999956,1.7876015,92.2635,-2.87999956,1.7876015,92.2635,-19.35959956,11.8592015,132.326,20.28080044,5.3371015,138.377,-24.30889956,-5.1530985,83.0108,14.02400044,-1.9304985,77.8354,-23.35959956,-13.9365985,46.0429,12.36290044,10.9966015,42.1308,-20.78549956,-19.9961985,6.56191,8.39080044,4.7735015,4.45982,-24.00769956,-10.9868985,1.22592,11.61550044,12.4472015,1.04253
4,-2.74181956,1.7889015,92.291,-2.74181956,1.7889015,92.291,-19.14819956,11.9357015,132.374,20.49620044,5.3685015,138.355,-24.19939956,-5.1318985,83.0736,14.12900044,-1.9201985,77.8529,-23.28099956,-13.9503985,46.112,12.40700044,10.9245015,42.1216,-20.78379956,-20.2342985,6.659,8.41120044,4.5345015,4.47515,-23.99869956,-11.2612985,1.24357,11.65070044,12.1757015,1.05565
4.5,-2.59856956,1.7890015,92.3294,-2.59856956,1.7890015,92.3294,-18.93079956,12.0182015,132.431,20.71830044,5.3981015,138.345,-24.08639956,-5.1181985,83.1517,14.23740044,-1.9122985,77.8848,-23.19529956,-13.9558985,46.1887,12.45970044,10.8261015,42.1185,-20.78269956,-20.4669985,6.76393,8.43620044,4.3092015,4.48888,-23.98619956,-11.5327985,1.26396,11.67030044,11.9275015,1.06936
5,-2.45286956,1.7887015,92.3735,-2.45286956,1.7887015,92.3735,-18.70989956,12.1037015,132.494,20.94370044,5.4273015,138.34,-23.97129956,-5.1081985,83.2374,14.34790044,-1.9056985,77.9246,-23.10789956,-13.9553985,46.2695,12.51620044,10.7133015,42.1176,-20.78189956,-20.6955985,6.874,8.46110044,4.0908015,4.50091,-23.97159956,-11.8032985,1.28615,11.68140044,11.6901015,1.08194
