[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOP2,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(R),1.65,72.73,1.156,70.06,0.497,29.94,0.268,15.98,96.15,53.64,24.05,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.05,,0.024,2.47,0.05,2.47,0.022,1.2,2.32,1.96,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
CV,3.03,,2.064,3.52,10.093,8.24,8.148,7.49,2.41,3.65,2.74,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(L),1.65,72.73,0.937,56.74,0.708,43.26,0.18,10.82,96.41,42.62,23.9,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.049,,0.056,2.5,0.042,2.5,0.017,1.07,3.63,1.91,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
CV,2.996,,5.997,4.41,5.888,5.78,9.507,9.92,3.77,4.48,2.06,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
23.5,-4.626454,-0.360649,95.299255,3.731925,1.004704,97.567635,-28.994343,-0.000389,134.190186,27.625406,4.157333,140.247726,-21.170555,-1.692368,84.511314,21.544086,3.104881,83.86908,-18.84067,0.631443,47.056652,17.520128,5.279385,46.424774,-12.865074,-7.892982,8.934951,12.175226,0.773705,7.961414,-15.454983,1.399857,2.993855,14.914362,12.140831,2.646363
24,-4.619587,-0.352081,95.296494,3.750428,0.94714,97.578941,-28.895798,0.063393,134.235291,27.667212,4.009968,140.276901,-21.197765,-1.792801,84.499298,21.606379,2.970535,83.889915,-18.822565,0.290817,47.054359,17.530085,4.980942,46.411499,-12.833186,-8.367832,8.94282,12.164309,0.302563,7.985924,-15.439604,0.928497,2.99344,14.965403,11.656143,2.657185
24.5,-4.612953,-0.346283,95.293938,3.76754,0.891144,97.588165,-28.813639,0.115253,134.280945,27.703527,3.853657,140.30162,-21.215284,-1.892506,84.489769,21.668903,2.838367,83.908035,-18.794788,-0.059395,47.051907,17.536739,4.687477,46.392982,-12.796438,-8.841839,8.952,12.151887,-0.170765,8.011023,-15.421716,0.455513,2.990348,15.030499,11.171021,2.669624
25,-4.604502,-0.341965,95.29026,3.781807,0.836414,97.594406,-28.735403,0.155865,134.325272,27.728619,3.687004,140.322372,-21.224609,-1.99057,84.481201,21.729462,2.707066,83.922913,-18.76759,-0.410915,47.049038,17.543732,4.403046,46.376011,-12.761964,-9.315159,8.963468,12.13494,-0.643524,8.029059,-15.397465,-0.018723,2.982257,15.088392,10.686211,2.679583
25.5,-4.600147,-0.340546,95.285599,3.794758,0.783211,97.597366,-28.692141,0.17627,134.362061,27.752346,3.514893,140.336746,-21.227709,-2.08675,84.476601,21.786028,2.580868,83.933563,-18.7313,-0.772224,47.043056,17.548704,4.122829,46.35445,-12.728207,-9.785622,8.974411,12.113597,-1.11554,8.045959,-15.371836,-0.493866,2.969958,15.15201,10.202709,2.687165
26,-4.593661,-0.339958,95.279007,3.802491,0.730141,97.594948,-28.657963,0.185284,134.394348,27.76556,3.333801,140.347961,-21.22452,-2.178787,84.474419,21.84247,2.456402,83.938538,-18.694473,-1.135654,47.035904,17.552759,3.849918,46.332981,-12.699491,-10.254787,8.986753,12.092382,-1.583229,8.055753,-15.342568,-0.971771,2.954064,15.192478,9.719719,2.690843
26.5,-4.58927,-0.341251,95.270401,3.808979,0.677647,97.588837,-28.653728,0.17646,134.416656,27.779087,3.148785,140.353195,-21.219072,-2.268143,84.475296,21.891808,2.337791,83.939293,-18.652796,-1.508289,47.025806,17.556089,3.581718,46.309872,-12.675494,-10.721882,8.996626,12.066998,-2.047321,8.063412,-15.313993,-1.450382,2.934947,15.228148,9.239674,2.690389
27,-4.58077,-0.342178,95.259735,3.809938,0.624527,97.57679,-28.655697,0.161552,134.433578,27.786348,2.956944,140.35643,-21.211414,-2.352718,84.478531,21.939795,2.221394,83.933708,-18.60936,-1.884506,47.015022,17.555914,3.319508,46.285309,-12.656411,-11.188377,9.005665,12.046439,-2.504826,8.068406,-15.284822,-1.932793,2.914737,15.237141,8.760178,2.687313
27.5,-4.56918,-0.34306,95.246803,3.809531,0.570908,97.561401,-28.665802,0.140057,134.443542,27.79311,2.761303,140.356216,-21.2052,-2.43441,84.482239,21.979532,2.109871,83.924965,-18.565058,-2.268135,47.003899,17.555862,3.062431,46.262409,-12.641947,-11.655445,9.010984,12.025475,-2.957375,8.072404,-15.258813,-2.416283,2.894514,15.233511,8.283722,2.68162
28,-4.550788,-0.342331,95.232033,3.80518,0.516602,97.541458,-28.672161,0.12043,134.449753,27.797462,2.56102,140.355072,-21.199438,-2.512417,84.486313,22.01416,2.000874,83.911209,-18.52022,-2.655716,46.994488,17.549734,2.810768,46.237667,-12.630551,-12.123466,9.01377,12.01123,-3.404305,8.07882,-15.234724,-2.903133,2.876067,15.211523,7.808041,2.676358
28.5,-4.524512,-0.339607,95.215324,3.799402,0.461472,97.519135,-28.661581,0.108036,134.454681,27.799049,2.356968,140.353683,-21.197268,-2.587814,84.487526,22.040745,1.895267,83.895821,-18.476196,-3.048561,46.988453,17.543591,2.56353,46.21627,-12.620175,-12.595001,9.012995,12.000843,-3.847633,8.087483,-15.215229,-3.391563,2.861203,15.176765,7.333488,2.67226
29,-4.489986,-0.334503,95.197044,3.792196,0.406143,97.494492,-28.636227,0.104343,134.459045,27.799555,2.150337,140.351776,-21.194798,-2.661442,84.486023,22.05851,1.792412,83.877953,-18.434683,-3.44379,46.987297,17.531013,2.320892,46.193489,-12.610362,-13.068947,9.009868,11.995413,-4.289158,8.101343,-15.199723,-3.881443,2.850644,15.138121,6.860054,2.671614
29.5,-4.445999,-0.32645,95.177193,3.783625,0.350628,97.468567,-28.579473,0.116989,134.466599,27.794268,1.9408,140.351746,-21.195686,-2.732964,84.478828,22.06925,1.691933,83.859703,-18.393545,-3.843067,46.992607,17.517151,2.080772,46.1735,-12.597193,-13.548027,9.004849,11.99474,-4.730976,8.120592,-15.188311,-4.373039,2.845453,15.094227,6.384758,2.675501
30,-4.394956,-0.315971,95.155823,3.77582,0.295456,97.442039,-28.502649,0.141167,134.476288,27.786747,1.730301,140.350647,-21.192751,-2.804203,84.466125,22.070219,1.594013,83.841309,-18.357105,-4.241581,47.004662,17.499659,1.843494,46.152519,-12.5825,-14.030106,8.999705,11.994845,-5.175514,8.144497,-15.182522,-4.863663,2.846054,15.059916,5.910767,2.684314
30.5,-4.336677,-0.303032,95.132698,3.766788,0.241135,97.414825,-28.397339,0.181801,134.489883,27.770422,1.518993,140.351257,-21.19031,-2.873905,84.446457,22.06624,1.498089,83.823006,-18.320332,-4.644043,47.024181,17.479134,1.606297,46.132256,-12.562393,-14.51675,8.995331,11.99553,-5.624908,8.174163,-15.178607,-5.355507,2.850852,15.030453,5.432632,2.697805
31,-4.275035,-0.288242,95.107796,3.759551,0.187328,97.387421,-28.275974,0.232109,134.505936,27.75004,1.307728,140.349426,-21.180689,-2.943523,84.419983,22.055286,1.403839,83.805573,-18.286749,-5.042389,47.049339,17.459724,1.369461,46.110668,-12.539884,-15.005867,8.993876,11.992939,-6.07972,8.205747,-15.181079,-5.844826,2.86141,15.018097,4.955544,2.71564
31.5,-4.210511,-0.272499,95.080292,3.751164,0.134853,97.358955,-28.142963,0.291069,134.522736,27.718901,1.098587,140.346802,-21.166723,-3.012184,84.387108,22.043055,1.311165,83.787788,-18.253559,-5.444221,47.080235,17.436167,1.130714,46.087685,-12.513778,-15.497086,8.996033,11.983585,-6.541882,8.239483,-15.182748,-6.334362,2.87273,15.016258,4.474316,2.733987
32,-4.146936,-0.255672,95.050385,3.744309,0.082638,97.329613,-28.00522,0.354515,134.539215,27.683096,0.890076,140.340302,-21.14539,-3.079739,84.347939,22.029066,1.218716,83.770439,-18.217915,-5.839806,47.112419,17.417685,0.89016,46.062473,-12.485952,-15.989403,9.002923,11.969267,-7.008991,8.272313,-15.189701,-6.821629,2.88806,15.031923,3.993366,2.754532
32.5,-4.084524,-0.239231,95.016769,3.736148,0.03104,97.297844,-27.876015,0.416542,134.551361,27.636812,0.686539,140.329239,-21.115572,-3.146919,84.304344,22.018641,1.12653,83.751534,-18.183861,-6.235767,47.146202,17.395388,0.64695,46.034912,-12.459168,-16.480789,9.015477,11.942279,-7.481857,8.301079,-15.194,-7.308109,2.900618,15.05501,3.510849,2.768713
33,-4.024907,-0.222328,94.979858,3.728452,-0.020721,97.264305,-27.753511,0.476795,134.559021,27.586992,0.48428,140.313629,-21.080248,-3.211376,84.256149,22.011374,1.033203,83.731941,-18.14197,-6.625092,47.175583,17.378939,0.401096,46.004498,-12.432827,-16.971512,9.032176,11.911543,-7.95668,8.32756,-15.20063,-7.794147,2.914077,15.090567,3.027569,2.782369
33.5,-3.967806,-0.205807,94.938332,3.718904,-0.073589,97.226456,-27.650839,0.529484,134.557861,27.529778,0.288895,140.290085,-21.035841,-3.276283,84.205597,22.011526,0.937813,83.709358,-18.101048,-7.007915,47.200718,17.360281,0.153267,45.972111,-12.412117,-17.459154,9.054517,11.868046,-8.431652,8.344545,-15.203366,-8.279011,2.922853,15.123066,2.546486,2.783734
34,-3.912262,-0.18898,94.892639,3.708518,-0.126999,97.186447,-27.560648,0.576366,134.548828,27.470715,0.095917,140.262421,-20.988289,-3.336342,84.15271,22.017607,0.840614,83.685226,-18.050398,-7.38435,47.217659,17.344566,-0.096554,45.937607,-12.394577,-17.944651,9.07916,11.823438,-8.905018,8.358966,-15.205836,-8.765621,2.930111,15.159195,2.064114,2.781782
34.5,-3.856605,-0.170876,94.842026,3.695561,-0.182972,97.140907,-27.485352,0.616463,134.529648,27.409586,-0.089779,140.225494,-20.934582,-3.397644,84.098389,22.029787,0.739353,83.657227,-17.997942,-7.745239,47.224598,17.328506,-0.346748,45.901642,-12.384098,-18.426582,9.106801,11.773075,-9.371735,8.363533,-15.203909,-9.251595,2.933353,15.182781,1.585999,2.766983
35,-3.799121,-0.151787,94.78643,3.680651,-0.239746,97.093246,-27.419552,0.65097,134.501266,27.348196,-0.271622,140.185593,-20.879635,-3.452343,84.043282,22.047461,0.636417,83.627151,-17.937849,-8.098217,47.222752,17.310774,-0.597542,45.865643,-12.378592,-18.905539,9.134508,11.724181,-9.834206,8.36552,-15.199959,-9.740498,2.934229,15.199036,1.106972,2.746657
35.5,-3.736614,-0.129143,94.726196,3.662349,-0.299198,97.040421,-27.351297,0.684208,134.465179,27.287807,-0.446651,140.137817,-20.822418,-3.507767,83.986336,22.064569,0.529758,83.59433,-17.873085,-8.42865,47.207764,17.293177,-0.847435,45.828548,-12.377807,-19.38168,9.161741,11.678528,-10.286793,8.362328,-15.192438,-10.229813,2.933994,15.200651,0.631474,2.718797
36,-3.668277,-0.103973,94.660263,3.641392,-0.359367,96.985695,-27.281187,0.71632,134.421082,27.228468,-0.616776,140.088181,-20.764984,-3.555656,83.928581,22.082401,0.422478,83.559013,-17.804567,-8.746906,47.186104,17.270565,-1.096825,45.793449,-12.381436,-19.854767,9.187324,11.635718,-10.734341,8.357124,-15.182207,-10.721565,2.93211,15.186277,0.155491,2.685074
36.5,-3.590755,-0.07365,94.590187,3.616364,-0.420959,96.927261,-27.189779,0.7528,134.374008,27.168924,-0.780899,140.033875,-20.706726,-3.601627,83.867729,22.091719,0.314247,83.523323,-17.73086,-9.04026,47.152088,17.24688,-1.345604,45.757523,-12.385182,-20.325939,9.210183,11.602152,-11.174068,8.353068,-15.171009,-11.214512,2.933017,15.161667,-0.319183,2.652087
37,-3.504389,-0.03891,94.513954,3.588262,-0.482708,96.86721,-27.081318,0.794445,134.322037,27.110109,-0.939892,139.978378,-20.648714,-3.639622,83.804596,22.093679,0.207565,83.485176,-17.656176,-9.316185,47.114559,17.21789,-1.593803,45.724308,-12.390329,-20.794411,9.23122,11.570214,-11.610397,8.348449,-15.157512,-11.708096,2.933696,15.119232,-0.794655,2.615304
37.5,-3.408043,0.001152,94.43396,3.55595,-0.543888,96.805,-26.942646,0.842453,134.271606,27.046926,-1.093922,139.921478,-20.587074,-3.671303,83.73719,22.082081,0.103935,83.448479,-17.579369,-9.5695,47.069084,17.186096,-1.843346,45.690491,-12.391085,-21.261036,9.249692,11.547918,-12.044811,8.349612,-15.146987,-12.202782,2.940418,15.073851,-1.270969,2.586536
38,-3.301574,0.047112,94.347847,3.520257,-0.604393,96.741478,-26.774172,0.900265,134.220306,26.981438,-1.243408,139.863617,-20.525599,-3.694244,83.665512,22.055765,0.004585,83.41011,-17.502178,-9.801468,47.022362,17.151548,-2.093327,45.658592,-12.389163,-21.725061,9.268474,11.52363,-12.479252,8.352189,-15.135873,-12.696049,2.948227,15.016542,-1.748722,2.557684
38.5,-3.188285,0.097408,94.258453,3.480789,-0.662651,96.676498,-26.580919,0.962772,134.172714,26.90744,-1.389099,139.806183,-20.45577,-3.706329,83.589478,22.015989,-0.088364,83.373016,-17.427326,-10.015968,46.973892,17.11351,-2.347054,45.62645,-12.380821,-22.186434,9.287193,11.504364,-12.918022,8.361648,-15.130834,-13.18956,2.962833,14.962488,-2.228405,2.539926
39,-3.066182,0.154095,94.164368,3.437839,-0.719505,96.610512,-26.355543,1.035538,134.128235,26.825968,-1.531326,139.74791,-20.384775,-3.70845,83.508331,21.959721,-0.174908,83.335564,-17.35214,-10.208435,46.925343,17.076412,-2.60265,45.594807,-12.365878,-22.644455,9.310491,11.479388,-13.360332,8.374451,-15.128471,-13.680401,2.979866,14.907177,-2.709408,2.52589
39.5,-2.941583,0.213776,94.067833,3.391697,-0.77354,96.542747,-26.118773,1.110218,134.087097,26.734394,-1.6707,139.690002,-20.303228,-3.697273,83.424141,21.894426,-0.253887,83.297096,-17.281227,-10.390514,46.88031,17.036943,-2.863052,45.56356,-12.346121,-23.098831,9.337169,11.452982,-13.810192,8.392083,-15.132248,-14.170452,3.001345,14.858276,-3.192322,2.5209
40,-2.811375,0.279671,93.969742,3.342415,-0.825905,96.474258,-25.859722,1.192444,134.051788,26.630402,-1.807602,139.631592,-20.218195,-3.674572,83.336159,21.819012,-0.326187,83.259392,-17.210835,-10.550522,46.835339,17.001303,-3.126102,45.532013,-12.31774,-23.548286,9.373676,11.420233,-14.265347,8.414487,-15.141651,-14.658016,3.026294,14.818413,-3.67506,2.52194
40.5,-2.681263,0.347618,93.870804,3.290103,-0.876091,96.403206,-25.602074,1.274948,134.018768,26.517748,-1.941891,139.572388,-20.123663,-3.639484,83.247452,21.740395,-0.392357,83.217621,-17.144674,-10.706413,46.796711,16.965639,-3.392494,45.501762,-12.288149,-23.993263,9.416876,11.381595,-14.726875,8.438502,-15.154634,-15.143871,3.051869,14.78557,-4.159157,2.526443
41,-2.548467,0.421562,93.775467,3.235447,-0.924927,96.331528,-25.337238,1.36335,133.993607,26.390873,-2.074013,139.51329,-20.02397,-3.59248,83.158882,21.664083,-0.453854,83.176712,-17.079876,-10.840466,46.75848,16.934713,-3.660831,45.471668,-12.251379,-24.431461,9.474625,11.340898,-15.192791,8.468062,-15.173384,-15.628689,3.081294,14.767191,-4.640884,2.536909
41.5,-2.415967,0.497528,93.682014,3.177298,-0.972851,96.256912,-25.081129,1.452938,133.970566,26.258215,-2.202744,139.452362,-19.918835,-3.537033,83.072456,21.588837,-0.512421,83.129929,-17.018484,-10.973278,46.726967,16.905916,-3.92881,45.443741,-12.21595,-24.864899,9.54137,11.294185,-15.660679,8.497008,-15.191982,-16.111282,3.108459,14.755503,-5.12344,2.54477
42,-2.281108,0.579624,93.5989,3.117602,-1.020111,96.181396,-24.828074,1.55125,133.958099,26.114264,-2.328499,139.392151,-19.808092,-3.471771,82.992233,21.527985,-0.569782,83.082695,-16.958775,-11.084503,46.697712,16.880774,-4.196541,45.417183,-12.178265,-25.289673,9.625883,11.253392,-16.129997,8.531693,-15.212822,-16.594372,3.139268,14.75728,-5.602531,2.556364
42.5,-2.145297,0.66449,93.521141,3.053854,-1.067448,96.1035,-24.584787,1.653965,133.949066,25.966372,-2.449253,139.329971,-19.697115,-3.403458,82.916817,21.470409,-0.627575,83.030373,-16.901943,-11.193176,46.67403,16.858944,-4.459705,45.393711,-12.141359,-25.709984,9.720332,11.210676,-16.596622,8.565752,-15.230156,-17.075184,3.167522,14.765165,-6.081978,2.561536
43,-2.004489,0.755764,93.460968,2.988417,-1.114807,96.023918,-24.344168,1.772778,133.955063,25.814142,-2.565334,139.268707,-19.581146,-3.330044,82.854935,21.430321,-0.687332,82.975426,-16.846708,-11.280945,46.656952,16.837553,-4.71978,45.371269,-12.108666,-26.119564,9.8343,11.181101,-17.061054,8.604916,-15.244287,-17.556608,3.199389,14.7815,-6.559631,2.567428
43.5,-1.861385,0.850689,93.4095,2.919019,-1.1623,95.942955,-24.109928,1.899948,133.966797,25.658539,-2.674644,139.205902,-19.468649,-3.258507,82.799713,21.394241,-0.749542,82.918358,-16.794394,-11.361988,46.643986,16.819719,-4.972408,45.352245,-12.073496,-26.525158,9.957958,11.154977,-17.520414,8.645159,-15.252914,-18.036064,3.230942,14.801956,-7.037415,2.566599
44,-1.709823,0.951645,93.381767,2.846731,-1.210068,95.859634,-23.869928,2.051292,133.999344,25.503668,-2.777523,139.143982,-19.352345,-3.187771,82.765572,21.367939,-0.814651,82.857445,-16.743992,-11.423862,46.644363,16.798388,-5.220325,45.332848,-12.047441,-26.917341,10.102299,11.144802,-17.975571,8.6894,-15.254413,-18.513803,3.267388,14.826385,-7.51672,2.564071
44.5,-1.554811,1.056496,93.365494,2.771277,-1.257076,95.775421,-23.629728,2.214329,134.040558,25.345793,-2.872604,139.080734,-19.240114,-3.122036,82.739639,21.344322,-0.881943,82.797783,-16.696339,-11.474808,46.648582,16.779469,-5.460274,45.314953,-12.015805,-27.305307,10.255871,11.140777,-18.426365,8.73657,-15.250007,-18.989937,3.307034,14.851501,-7.996391,2.557905
45,-1.391028,1.165432,93.375374,2.691575,-1.303978,95.688606,-23.377972,2.40379,134.106812,25.189194,-2.960503,139.017807,-19.124512,-3.062008,82.739876,21.317202,-0.950455,82.735161,-16.652895,-11.509178,46.672768,16.755272,-5.69582,45.295898,-11.993496,-27.676912,10.43082,11.148964,-18.873367,8.785977,-15.238906,-19.460091,3.354375,14.876862,-8.480587,2.548569
45.5,-1.222609,1.277161,93.398392,2.609514,-1.348904,95.600433,-23.117605,2.606041,134.185028,25.029329,-3.040989,138.953323,-19.010199,-3.00808,82.750259,21.289066,-1.018444,82.675987,-16.611738,-11.531525,46.702625,16.730528,-5.925144,45.273907,-11.96571,-28.042667,10.615161,11.161378,-19.318907,8.839004,-15.223625,-19.928366,3.40842,14.900019,-8.965305,2.540627
46,-1.049573,1.389675,93.446274,2.522856,-1.392746,95.509933,-22.849083,2.828987,134.288651,24.867605,-3.115166,138.887924,-18.89311,-2.961823,82.789101,21.246479,-1.084293,82.616592,-16.577765,-11.538979,46.756809,16.702374,-6.151619,45.251602,-11.942219,-28.389095,10.821888,11.176844,-19.762703,8.892146,-15.204921,-20.386715,3.473511,14.91967,-9.455421,2.529171
46.5,-0.871364,1.502441,93.507133,2.433703,-1.433876,95.417023,-22.56539,3.062176,134.407196,24.700832,-3.183704,138.820862,-18.772173,-2.921417,82.839859,21.197884,-1.145473,82.561012,-16.546391,-11.536987,46.819878,16.669645,-6.374557,45.221416,-11.917024,-28.726917,11.038756,11.19112,-20.208031,8.947919,-15.185746,-20.841898,3.547703,14.936142,-9.945503,2.52368
47,-0.694832,1.611832,93.588882,2.341201,-1.472683,95.322586,-22.28443,3.303711,134.547333,24.528446,-3.248169,138.751419,-18.649868,-2.887436,82.91893,21.132023,-1.201,82.508392,-16.524521,-11.521187,46.908073,16.637972,-6.595688,45.192978,-11.88842,-29.04306,11.279061,11.197886,-20.65378,9.002247,-15.16685,-21.285383,3.636167,14.94557,-10.438931,2.515692
47.5,-0.514331,1.718407,93.68177,2.244611,-1.508987,95.225052,-21.987495,3.549816,134.703827,24.347532,-3.309269,138.681122,-18.519358,-2.858509,83.010887,21.05619,-1.247906,82.458557,-16.506308,-11.499828,47.008099,16.598574,-6.815052,45.154491,-11.862931,-29.347811,11.530354,11.19801,-21.102037,9.057181,-15.15104,-21.724018,3.734285,14.952385,-10.931049,2.515485
48,-0.340157,1.817551,93.790298,2.146867,-1.54192,95.12738,-21.704128,3.789787,134.875702,24.15943,-3.368832,138.607849,-18.388783,-2.832985,83.128815,20.968731,-1.286896,82.413544,-16.499542,-11.465092,47.130356,16.564249,-7.031338,45.119366,-11.827487,-29.629816,11.805247,11.183523,-21.551741,9.110756,-15.137132,-22.15188,3.84915,14.950613,-11.422272,2.515279
48.5,-0.165381,1.911461,93.907158,2.042477,-1.573269,95.027298,-21.411636,4.027412,135.062576,23.959034,-3.42643,138.535797,-18.249775,-2.811604,83.259277,20.870802,-1.314926,82.369919,-16.496746,-11.427746,47.265343,16.522062,-7.245373,45.077251,-11.797145,-29.899109,12.09105,11.160482,-22.002064,9.163412,-15.127202,-22.573975,3.972493,14.946665,-11.911003,2.520882
49,0.002737,1.995129,94.034798,1.938413,-1.600838,94.929054,-21.135183,4.247948,135.25914,23.752602,-3.484001,138.462372,-18.11068,-2.790993,83.41156,20.770464,-1.334621,82.330711,-16.507925,-11.376301,47.41716,16.485586,-7.452026,45.037888,-11.754331,-30.146164,12.398883,11.122387,-22.453253,9.217014,-15.11717,-22.987854,4.113831,14.93656,-12.394356,2.530047
49.5,0.166748,2.072491,94.167618,1.82557,-1.627663,94.830849,-20.862753,4.46011,135.465729,23.532436,-3.538975,138.393066,-17.967937,-2.77343,83.574379,20.663507,-1.34314,82.291901,-16.521025,-11.323795,47.579548,16.445021,-7.653496,44.99955,-11.713494,-30.381618,12.71551,11.078721,-22.901243,9.270267,-15.108531,-23.396603,4.261581,14.923187,-12.875263,2.540096
50,0.327734,2.138859,94.307808,1.712216,-1.6511,94.736923,-20.597689,4.651432,135.679047,23.308317,-3.593498,138.326599,-17.823576,-2.755947,83.75354,20.560493,-1.344418,82.255356,-16.551437,-11.255306,47.75259,16.406788,-7.841145,44.960735,-11.661958,-30.596901,13.05039,11.026153,-23.348133,9.328629,-15.094543,-23.79945,4.427072,14.910044,-13.348335,2.557072
50.5,0.480562,2.198956,94.450188,1.589775,-1.673714,94.646927,-20.351336,4.830559,135.894241,23.073275,-3.642624,138.267303,-17.682688,-2.74004,83.940041,20.457521,-1.335785,82.218826,-16.579365,-11.187046,47.931557,16.370844,-8.018761,44.932396,-11.605437,-30.803371,13.389545,10.974111,-23.788168,9.390231,-15.077627,-24.198738,4.597239,14.891489,-13.820488,2.569633
51,0.63408,2.249256,94.597672,1.463446,-1.693943,94.563683,-20.099722,4.991768,136.114883,22.83489,-3.688889,138.216675,-17.539167,-2.725433,84.136139,20.359442,-1.321507,82.182465,-16.626032,-11.102108,48.115318,16.332964,-8.176468,44.90057,-11.541384,-30.993336,13.740118,10.923315,-24.223919,9.46171,-15.049885,-24.59297,4.783197,14.879747,-14.286179,2.589822
51.5,0.779432,2.294281,94.745079,1.33008,-1.712234,94.488388,-19.872742,5.141346,136.32962,22.593521,-3.726032,138.175262,-17.403011,-2.710747,84.33625,20.264324,-1.299423,82.145981,-16.667147,-11.019043,48.300003,16.302013,-8.318764,44.883194,-11.46839,-31.177109,14.089496,10.878115,-24.651478,9.542459,-15.017097,-24.983568,4.972805,14.863503,-14.753006,2.603813
52,0.925794,2.331512,94.895447,1.189386,-1.728851,94.421654,-19.634798,5.278309,136.547165,22.348318,-3.757034,138.147064,-17.265144,-2.698635,84.539131,20.17107,-1.272579,82.109184,-16.723799,-10.923504,48.485069,16.26848,-8.437611,44.862232,-11.390642,-31.348463,14.440356,10.842384,-25.071503,9.636801,-14.97325,-25.367401,5.174903,14.855518,-15.218327,2.622247
52.5,1.06642,2.364315,95.044327,1.044243,-1.742176,94.366188,-19.417711,5.406792,136.754639,22.106318,-3.776031,138.130112,-17.134483,-2.685688,84.743095,20.079563,-1.239269,82.073448,-16.774532,-10.831753,48.667713,16.242798,-8.536583,44.85368,-11.304886,-31.513943,14.785375,10.815163,-25.483004,9.746866,-14.926197,-25.744556,5.380436,14.847368,-15.685467,2.636559
53,1.205019,2.390656,95.193382,0.890701,-1.753696,94.32,-19.194893,5.525951,136.959442,21.860962,-3.786335,138.127502,-17.004152,-2.675087,84.944542,19.984928,-1.200844,82.03875,-16.833141,-10.738079,48.848488,16.218443,-8.611015,44.843594,-11.218067,-31.669083,15.119946,10.799253,-25.884678,9.872896,-14.877396,-26.108963,5.594397,14.843719,-16.156536,2.650409
53.5,1.340958,2.413174,95.34005,0.735324,-1.760963,94.28688,-18.982683,5.640579,137.153976,21.620403,-3.784386,138.137833,-16.878263,-2.663769,85.14463,19.889368,-1.156353,82.007835,-16.88792,-10.650368,49.025791,16.200993,-8.662579,44.840691,-11.129479,-31.816431,15.445238,10.792335,-26.276865,10.019315,-14.831749,-26.461496,5.811147,14.844822,-16.628349,2.664058
54,1.470124,2.429012,95.483437,0.573393,-1.765671,94.262718,-18.778044,5.745224,137.338974,21.378223,-3.773087,138.160248,-16.75522,-2.653351,85.339455,19.785906,-1.105293,81.980888,-16.940645,-10.575863,49.20134,16.190891,-8.689995,44.839207,-11.046846,-31.950949,15.747879,10.792637,-26.657501,10.182961,-14.803421,-26.789452,6.031451,14.845036,-17.106308,2.673717
54.5,1.598801,2.441284,95.62384,0.411931,-1.765846,94.251656,-18.573097,5.847698,137.516159,21.137518,-3.75238,138.196442,-16.633675,-2.642818,85.531303,19.68074,-1.047859,81.961586,-16.992624,-10.509392,49.374474,16.18771,-8.692039,44.840343,-10.971406,-32.074409,16.038828,10.80066,-27.025734,10.368761,-14.787642,-27.099878,6.252913,14.851944,-17.582563,2.686623
55,1.716828,2.445496,95.757607,0.247615,-1.76263,94.248749,-18.388704,5.936821,137.678711,20.897087,-3.723827,138.240921,-16.517851,-2.632057,85.717651,19.565042,-0.982105,81.949951,-17.034004,-10.470665,49.547646,16.19665,-8.670044,44.845646,-10.913683,-32.176579,16.29636,10.810191,-27.380144,10.572548,-14.812532,-27.367807,6.471339,14.855032,-18.062004,2.69569
55.5,1.83508,2.446045,95.888054,0.085389,-1.755253,94.257492,-18.197342,6.023293,137.836639,20.652288,-3.690666,138.298843,-16.402037,-2.62191,85.900406,19.449816,-0.909531,81.949768,-17.076855,-10.441494,49.720665,16.214861,-8.619308,44.852085,-10.871079,-32.264313,16.540096,10.825658,-27.717203,10.797799,-14.859585,-27.613495,6.688383,14.86244,-18.536943,2.709995
