[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOP2,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(R),1.65,72.73,1.156,70.06,0.497,29.94,0.268,15.98,96.15,53.64,24.05,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.05,,0.024,2.47,0.05,2.47,0.022,1.2,2.32,1.96,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
CV,3.03,,2.064,3.52,10.093,8.24,8.148,7.49,2.41,3.65,2.74,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(L),1.65,72.73,0.937,56.74,0.708,43.26,0.18,10.82,96.41,42.62,23.9,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.049,,0.056,2.5,0.042,2.5,0.017,1.07,3.63,1.91,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
CV,2.996,,5.997,4.41,5.888,5.78,9.507,9.92,3.77,4.48,2.06,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
5.5,-1.182456,-1.573463,94.601372,0.823539,2.174492,94.696663,-23.414391,-1.35643,134.681458,22.096909,3.156754,137.339081,-18.218634,0.24136,84.017586,19.119884,5.006264,81.884743,-18.10342,9.570885,47.899284,16.983477,17.875267,46.550209,-12.818256,7.680122,8.801147,12.380624,17.050987,7.977493,-15.216918,17.458725,2.719924,14.971703,28.797844,3.01568
6,-1.324172,-1.535248,94.670624,0.978512,2.209728,94.85302,-23.64768,-1.281559,134.725449,22.368586,3.360271,137.470764,-18.385132,0.273312,84.052704,19.200199,5.028503,82.000038,-18.129686,9.349503,47.847282,17.03047,17.53257,46.536652,-12.789219,7.262737,8.786989,12.382369,16.617447,7.971087,-15.24042,17.022415,2.722621,14.95673,28.351181,2.994863
6.5,-1.459553,-1.49437,94.742104,1.133257,2.237564,95.010292,-23.882132,-1.213753,134.773682,22.637676,3.545593,137.603302,-18.526417,0.29623,84.085068,19.277658,5.041008,82.115913,-18.139654,9.120537,47.798355,17.065628,17.183563,46.535217,-12.756188,6.843597,8.778615,12.386081,16.186562,7.9658,-15.252682,16.581566,2.728459,14.941313,27.90226,2.973203
7,-1.594548,-1.452908,94.813995,1.284159,2.262901,95.167236,-24.12532,-1.150936,134.821991,22.898739,3.726467,137.735825,-18.659334,0.312477,84.115738,19.353279,5.050152,82.232063,-18.142311,8.888958,47.749454,17.092024,16.834053,46.537994,-12.726747,6.424561,8.772183,12.39295,15.756004,7.959816,-15.267531,16.13903,2.739684,14.931332,27.452454,2.951841
7.5,-1.727123,-1.40958,94.886681,1.431632,2.282551,95.320953,-24.374651,-1.098969,134.867706,23.152414,3.890285,137.865509,-18.766821,0.315025,84.145737,19.430462,5.054276,82.345703,-18.14366,8.657505,47.713161,17.112286,16.489372,46.550797,-12.702555,6.003597,8.773314,12.400334,15.323715,7.954395,-15.274886,15.693504,2.755021,14.924313,27.001862,2.933962
8,-1.861745,-1.366539,94.959061,1.57134,2.299206,95.471992,-24.633123,-1.052246,134.910233,23.3901,4.048885,137.994003,-18.869131,0.308167,84.175545,19.50794,5.055622,82.458054,-18.142548,8.422897,47.680824,17.129427,16.147736,46.567513,-12.684049,5.583538,8.777307,12.411467,14.88945,7.945578,-15.282375,15.247742,2.773181,14.920252,26.550529,2.915703
8.5,-1.996938,-1.322533,95.030037,1.702985,2.309448,95.616585,-24.900248,-1.016396,134.943878,23.616215,4.191689,138.118332,-18.954063,0.286591,84.206551,19.587599,5.054901,82.564545,-18.148127,8.186783,47.663624,17.145288,15.812775,46.587173,-12.675192,5.161697,8.786432,12.419199,14.45023,7.936347,-15.288292,14.80098,2.794811,14.91923,26.098679,2.902407
9,-2.135407,-1.279026,95.099915,1.824787,2.315125,95.756149,-25.173836,-0.983864,134.972397,23.823374,4.326805,138.240509,-19.03861,0.255692,84.238716,19.669567,5.051353,82.667328,-18.156898,7.945908,47.651939,17.167093,15.480301,46.607533,-12.67178,4.740627,8.797877,12.428553,14.007442,7.922919,-15.292113,14.35487,2.815857,14.916742,25.646034,2.888228
9.5,-2.274054,-1.235558,95.165337,1.934499,2.312126,95.887253,-25.45009,-0.957233,134.987823,24.016035,4.446598,138.358398,-19.118488,0.212692,84.272644,19.752169,5.04591,82.76178,-18.173897,7.696812,47.651531,17.189484,15.15139,46.62318,-12.675978,4.317814,8.80908,12.431713,13.559315,7.907907,-15.300093,13.909538,2.838175,14.914337,25.192406,2.877382
10,-2.415198,-1.192043,95.228577,2.036157,2.302979,96.012505,-25.727293,-0.929905,134.99765,24.194923,4.555969,138.473907,-19.202141,0.163128,84.307907,19.837397,5.037014,82.850739,-18.197371,7.441875,47.654995,17.224064,14.821823,46.635914,-12.683704,3.894714,8.820808,12.433113,13.108208,7.891398,-15.304547,13.464611,2.857132,14.909269,24.737778,2.866525
