[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
6,0.573022,0.111029,91.2651,0.573022,0.111029,91.2651,-20.535048,10.706829,131.577,17.267392,11.326129,128.014,-15.493048,-9.459071,81.8978,18.457852,-5.225271,82.5815,-11.074548,-23.392771,45.4991,17.702652,10.185129,47.402,-13.422748,-39.239871,12.2525,18.189752,9.384729,9.87533,-7.509748,-36.892771,4.55823,20.807552,18.540329,3.89082
6.5,0.631272,0.167829,91.2455,0.631272,0.167829,91.2455,-20.454048,10.743529,131.602,17.348842,11.458229,127.95,-15.431148,-9.427171,81.8919,18.503052,-5.068371,82.5637,-11.116348,-23.190871,45.4346,17.730552,10.349129,47.3749,-13.285448,-39.630971,12.2509,18.222952,8.911829,9.86515,-7.493448,-37.376771,4.59584,20.851552,18.025329,3.84489
7,0.689792,0.224429,91.2288,0.689792,0.224429,91.2288,-20.375448,10.786329,131.631,17.429712,11.589829,127.893,-15.369748,-9.393971,81.8864,18.552552,-4.919571,82.5506,-11.163848,-22.972471,45.3662,17.761052,10.492929,47.3447,-13.137948,-40.018371,12.2463,18.258752,8.432929,9.85913,-7.475048,-37.856471,4.63392,20.899352,17.507529,3.81189
7.5,0.747142,0.280729,91.2214,0.747142,0.280729,91.2214,-20.303948,10.847429,131.67,17.499612,11.718729,127.861,-15.308548,-9.360371,81.8809,18.614152,-4.781971,82.5547,-11.226148,-22.695971,45.2847,17.800252,10.553329,47.3031,-12.953348,-40.389971,12.2367,18.290952,7.937429,9.85929,-7.454348,-38.319971,4.68502,20.950952,16.985329,3.80997
8,0.803892,0.336529,91.2177,0.803892,0.336529,91.2177,-20.235148,10.915529,131.713,17.563532,11.845929,127.84,-15.248348,-9.326271,81.8756,18.682452,-4.649571,82.5641,-11.292348,-22.397871,45.1982,17.842052,10.578029,47.2555,-12.756248,-40.753771,12.2281,18.322852,7.436529,9.86093,-7.434248,-38.777371,4.74637,21.002552,16.463629,3.81921
8.5,0.861042,0.391729,91.2174,0.861042,0.391729,91.2174,-20.169048,10.991129,131.76,17.625302,11.973129,127.829,-15.188748,-9.291671,81.8705,18.757852,-4.527271,82.5803,-11.364648,-22.075971,45.105,17.888252,10.568729,47.2039,-12.545148,-41.109871,12.2198,18.353852,6.930129,9.86439,-7.413048,-39.227571,4.81614,21.053552,15.940429,3.83676
9,0.915742,0.444429,91.2246,0.915742,0.444429,91.2246,-20.109448,11.080229,131.814,17.677062,12.097229,127.837,-15.130648,-9.257171,81.865,18.838252,-4.423271,82.6113,-11.444248,-21.706071,45.0015,17.941452,10.482829,47.1461,-12.308348,-41.443871,12.2211,18.377952,6.413929,9.86646,-7.394348,-39.657671,4.91529,21.097752,15.415129,3.86126
9.5,0.969512,0.495929,91.2348,0.969512,0.495929,91.2348,-20.052848,11.174129,131.869,17.725052,12.219429,127.854,-15.073748,-9.222571,81.8597,18.921852,-4.326871,82.6471,-11.526348,-21.318171,44.8947,17.996552,10.365629,47.0837,-12.061048,-41.766871,12.2286,18.399852,5.893229,9.86821,-7.377748,-40.078271,5.03007,21.139852,14.889029,3.88755
10,1.022702,0.545629,91.2482,1.022702,0.545629,91.2482,-19.998748,11.273729,131.926,17.769452,12.341629,127.879,-15.017348,-9.188071,81.8542,19.008752,-4.244571,82.6907,-11.611048,-20.905871,44.7823,18.056052,10.211429,47.0211,-11.803648,-42.075971,12.244,18.417652,5.368729,9.86752,-7.363448,-40.486271,5.16581,21.176352,14.362029,3.91133
10.5,1.072352,0.591529,91.2672,1.072352,0.591529,91.2672,-19.951148,11.380729,131.985,17.808752,12.460129,127.916,-14.963148,-9.153671,81.8484,19.090552,-4.186171,82.7458,-11.697148,-20.459471,44.6667,18.119552,10.001529,46.9589,-11.536248,-42.356371,12.2794,18.429952,4.838029,9.8631,-7.354248,-40.865871,5.3378,21.204552,13.831529,3.92716
