[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
5.5,-0.71152088,2.4867815,100.27,-0.71152088,2.4867815,100.27,-21.48270088,3.2453815,141.808,19.65779912,1.4133815,141.765,-17.54820088,0.6109815,90.4036,17.16779912,7.0237815,91.6739,-17.16320088,-10.3791185,51.8042,15.22949912,15.2992815,51.5203,-17.25830088,-24.3976185,13.2408,14.40639912,15.7878815,11.5578,-18.97400088,-15.4517185,4.60529,16.73829912,26.3383815,5.61678
6,-0.56155088,2.5035815,100.35,-0.56155088,2.5035815,100.35,-21.27810088,3.0668815,141.869,19.87309912,1.6001815,141.847,-17.39760088,0.6510815,90.527,17.29969912,7.2076815,91.7386,-17.07200088,-10.2976185,51.9221,15.27059912,15.2976815,51.5414,-17.22160088,-24.6512185,13.4452,14.42359912,15.3959815,11.5565,-18.95210088,-15.8440185,4.6602,16.75679912,25.9332815,5.62627
6.5,-0.41313688,2.5141815,100.451,-0.41313688,2.5141815,100.451,-21.06920088,2.8853815,141.966,20.07819912,1.7738815,141.952,-17.25100088,0.6872815,90.6759,17.43309912,7.3808815,91.8174,-16.98550088,-10.1792185,52.0449,15.32079912,15.2425815,51.5675,-17.18770088,-24.8810185,13.667,14.43889912,15.0012815,11.5616,-18.92790088,-16.2246185,4.72776,16.77039912,25.5332815,5.65266
7,-0.26709888,2.5224815,100.556,-0.26709888,2.5224815,100.556,-20.86290088,2.7033815,142.069,20.27889912,1.9434815,142.062,-17.10380088,0.7201815,90.8308,17.56079912,7.5516815,91.8979,-16.90120088,-10.0515185,52.1669,15.37329912,15.1711815,51.5923,-17.15480088,-25.1057185,13.893,14.45429912,14.6085815,11.5672,-18.90410088,-16.6031185,4.79958,16.78259912,25.1365815,5.6791
7.5,-0.12620588,2.5230815,100.676,-0.12620588,2.5230815,100.676,-20.65940088,2.5179815,142.199,20.47059912,2.0965815,142.191,-16.96300088,0.7446815,91.006,17.68109912,7.7120815,91.9839,-16.82490088,-9.8851185,52.286,15.43599912,15.0479815,51.6154,-17.12740088,-25.3082185,14.1327,14.46559912,14.2116815,11.575,-18.88090088,-16.9706185,4.88419,16.78859912,24.7380815,5.70561
8,0.01183712,2.5201815,100.8,0.01183712,2.5201815,100.8,-20.45390088,2.3313815,142.341,20.65409912,2.2428815,142.327,-16.82200088,0.7648815,91.1881,17.79449912,7.8659815,92.0695,-16.75330088,-9.7003185,52.4021,15.49979912,14.9028815,51.6363,-17.10340088,-25.5010185,14.3808,14.47529912,13.8138815,11.5828,-18.85690088,-17.3345185,4.97676,16.79209912,24.3398815,5.73149
8.5,0.14603912,2.5115815,100.928,0.14603912,2.5115815,100.928,-20.24930088,2.1407815,142.492,20.83429912,2.3786815,142.47,-16.68230088,0.7759815,91.3765,17.89539912,8.0134815,92.1524,-16.69100088,-9.4912185,52.5109,15.56879912,14.7306815,51.6514,-17.08450088,-25.6824185,14.6372,14.48459912,13.4142815,11.5898,-18.83360088,-17.6942185,5.07826,16.79349912,23.9397815,5.74958
9,0.27593912,2.4968815,101.06,0.27593912,2.4968815,101.06,-20.04200088,1.9471815,142.653,21.00629912,2.5020815,142.62,-16.54630088,0.7774815,91.5719,17.98639912,8.1500815,92.2304,-16.63820088,-9.2501185,52.6104,15.63979912,14.5296815,51.661,-17.07100088,-25.8490185,14.9041,14.49039912,13.0107815,11.5944,-18.80910088,-18.0484185,5.192,16.79169912,23.5349815,5.76059
9.5,0.40418912,2.4793815,101.19,0.40418912,2.4793815,101.19,-19.83340088,1.7513815,142.815,21.17679912,2.6210815,142.771,-16.40910088,0.7741815,91.7658,18.06979912,8.2812815,92.3043,-16.59220088,-8.9958185,52.7045,15.71139912,14.3199815,51.6671,-17.06000088,-26.0103185,15.1769,14.49629912,12.6046815,11.5982,-18.78350088,-18.4015185,5.31161,16.78949912,23.1271815,5.76709
10,0.52891912,2.4549815,101.316,0.52891912,2.4549815,101.316,-19.61830088,1.5495815,142.976,21.34269912,2.7281815,142.923,-16.27270088,0.7569815,91.9568,18.13779912,8.4000815,92.3678,-16.56120088,-8.7081185,52.7825,15.78369912,14.0903815,51.6642,-17.05300088,-26.1597185,15.4586,14.50189912,12.1979815,11.5978,-18.75630088,-18.7523185,5.44433,16.78759912,22.7173815,5.76284
