[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoki,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.89,0.668,65.06,0.359,34.94,0.152,14.79,113.94,56.42,21.15,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.017,,0.009,0.75,0.012,0.75,0.004,0.42,1.63,1.35,0.84,,,,,,,,,,,,,,,,,,,,,,,,,
CV,1.652,,1.345,1.15,3.336,2.14,2.707,2.86,1.43,2.39,3.95,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.85,0.656,63.84,0.371,36.16,0.145,14.11,113.97,57.55,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.01,,0.013,0.76,0.006,0.76,0.005,0.45,1.43,1.08,0.94,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0.98,,1.936,1.19,1.741,2.09,3.437,3.21,1.26,1.88,4.47,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
20.5,-1.314152,0.441227,104.342598,1.341322,-0.063725,104.971954,-23.66268,-0.285118,148.076324,23.882406,0.052395,148.676147,-19.567911,0.331337,94.229454,19.423769,0.6092,92.930527,-15.82592,7.063652,54.024124,16.247168,6.995216,53.217579,-10.675506,3.19228,9.179418,10.573429,3.265614,9.059886,-13.81298,13.953457,3.929027,13.518554,14.195587,3.496357
21,-1.334717,0.432499,104.413483,1.36449,-0.082729,105.042725,-23.67281,-0.293293,148.153076,23.900068,0.039291,148.7686,-19.595381,0.22414,94.292953,19.444994,0.537113,92.992775,-15.857547,6.65379,54.041332,16.285931,6.596512,53.227726,-10.683382,2.60162,9.187566,10.584055,2.674435,9.070127,-13.82226,13.353535,3.938636,13.523977,13.601185,3.50474
21.5,-1.354453,0.423546,104.483955,1.385502,-0.101097,105.112442,-23.681751,-0.303802,148.234512,23.916237,0.026714,148.864029,-19.624117,0.114464,94.353653,19.461689,0.461067,93.053162,-15.890567,6.241039,54.060352,16.324709,6.196335,53.238487,-10.689802,2.009071,9.195074,10.593377,2.081726,9.080108,-13.832649,12.750908,3.950985,13.529945,13.003887,3.514841
22,-1.373791,0.414852,104.553993,1.405174,-0.118847,105.181046,-23.69104,-0.314877,148.318863,23.931736,0.014553,148.960754,-19.654631,0.004032,94.412178,19.476923,0.383461,93.111847,-15.92454,5.825336,54.080399,16.363167,5.795166,53.248955,-10.695153,1.415188,9.20196,10.601885,1.488342,9.09005,-13.843601,12.146412,3.964599,13.535368,12.404846,3.524936
22.5,-1.391003,0.406876,104.621742,1.422774,-0.135384,105.247612,-23.699142,-0.325062,148.407974,23.946009,0.00309,149.059967,-19.684057,-0.106346,94.464813,19.488342,0.302429,93.167648,-15.955774,5.403343,54.099026,16.39983,5.391121,53.259274,-10.697235,0.819195,9.208025,10.607555,0.893299,9.099739,-13.852391,11.539875,3.97751,13.539078,11.803024,3.535039
23,-1.407115,0.399387,104.687408,1.438003,-0.15102,105.311417,-23.706488,-0.335571,148.500916,23.958649,-0.006458,149.160614,-19.713835,-0.215878,94.512459,19.497072,0.217308,93.219391,-15.984537,4.974911,54.116356,16.4347,4.983253,53.268333,-10.696441,0.22139,9.213128,10.611295,0.295902,9.108377,-13.860992,10.931847,3.990522,13.543294,11.198418,3.54448
23.5,-1.422007,0.392551,104.751541,1.451759,-0.165901,105.373062,-23.714266,-0.344639,148.597244,23.970564,-0.01413,149.261154,-19.743259,-0.324818,94.556091,19.506052,0.130577,93.267845,-16.012079,4.54023,54.132885,16.468151,4.573212,53.275925,-10.693037,-0.377926,9.217116,10.614021,-0.302269,9.116811,-13.869092,10.322342,4.003085,13.547028,10.592003,3.552683
24,-1.434532,0.386745,104.812546,1.463554,-0.179386,105.431267,-23.721603,-0.349983,148.695084,23.981731,-0.019547,149.361343,-19.769302,-0.432819,94.594398,19.513866,0.040955,93.311432,-16.035442,4.100101,54.147137,16.498131,4.159508,53.281857,-10.68768,-0.978226,9.220719,10.614007,-0.901852,9.124563,-13.874782,9.712368,4.012627,13.549431,9.983402,3.558474
24.5,-1.445671,0.381947,104.870033,1.472652,-0.191895,105.484787,-23.728668,-0.352665,148.794617,23.991182,-0.021801,149.460251,-19.794916,-0.538128,94.626617,19.521379,-0.052219,93.34877,-16.053219,3.652679,54.158306,16.524,3.740292,53.285313,-10.679891,-1.579189,9.223802,10.6118,-1.503334,9.131386,-13.879342,9.102936,4.019629,13.551413,9.373596,3.561282
25,-1.45474,0.377892,104.924553,1.480608,-0.203747,105.535545,-23.735168,-0.351372,148.896194,23.999798,-0.021198,149.557388,-19.816666,-0.642124,94.653366,19.529261,-0.146709,93.382446,-16.067205,3.197243,54.166996,16.547806,3.318794,53.287048,-10.669252,-2.180622,9.226193,10.608824,-2.105412,9.138,-13.881951,8.493927,4.024095,13.553009,8.763073,3.562178
25.5,-1.462036,0.374466,104.976364,1.486503,-0.214554,105.582001,-23.741623,-0.346069,148.997025,24.007185,-0.017506,149.651611,-19.834877,-0.745991,94.676712,19.53787,-0.243465,93.4104,-16.078131,2.738876,54.174362,16.567308,2.894325,53.286674,-10.657803,-2.781731,9.228543,10.604178,-2.707928,9.144316,-13.883101,7.885788,4.026079,13.553884,8.151825,3.560139
26,-1.46743,0.372154,105.023491,1.489865,-0.224499,105.622612,-23.747869,-0.334641,149.096115,24.012861,-0.009617,149.741058,-19.850098,-0.848,94.694176,19.54727,-0.342579,93.431442,-16.082575,2.276405,54.178925,16.581903,2.465782,53.284065,-10.645972,-3.381851,9.231406,10.598134,-3.310539,9.150606,-13.882597,7.27998,4.024139,13.553904,7.541573,3.554497
26.5,-1.471041,0.370316,105.067123,1.492267,-0.234032,105.659996,-23.752628,-0.31826,149.194427,24.017395,0.001087,149.827377,-19.86101,-0.94944,94.706963,19.556864,-0.4426,93.448982,-16.082958,1.809261,54.181431,16.593937,2.035923,53.280178,-10.632826,-3.980659,9.23454,10.591854,-3.913021,9.157099,-13.880023,6.676624,4.019455,13.553248,6.93206,3.546964
27,-1.473188,0.368652,105.108383,1.49307,-0.24295,105.693275,-23.756662,-0.298038,149.291367,24.020155,0.01519,149.909363,-19.868315,-1.051617,94.717262,19.566908,-0.543911,93.461861,-16.081106,1.340706,54.183216,16.602261,1.605522,53.274853,-10.619342,-4.578381,9.23794,10.584876,-4.514874,9.163864,-13.876348,6.074844,4.013201,13.552343,6.323505,3.5377
27.5,-1.473576,0.367508,105.144791,1.491616,-0.251354,105.720413,-23.760036,-0.270306,149.382782,24.02084,0.033638,149.984222,-19.870514,-1.154804,94.72377,19.577206,-0.64666,93.468658,-16.075411,0.874989,54.184429,16.606379,1.175117,53.268345,-10.607558,-5.173508,9.242752,10.577904,-5.114868,9.171723,-13.871444,5.476048,4.004808,13.550975,5.717327,3.526475
28,-1.472893,0.3666,105.17778,1.489384,-0.259613,105.743782,-23.761862,-0.237617,149.471176,24.019972,0.054646,150.054153,-19.870176,-1.258499,94.727013,19.587431,-0.749603,93.472305,-16.067032,0.410152,54.185055,16.607977,0.745796,53.26136,-10.596466,-5.766411,9.248538,10.57144,-5.713245,9.180713,-13.865524,4.880054,3.994856,13.548432,5.113091,3.514106
28.5,-1.470844,0.365402,105.208282,1.486221,-0.267555,105.763908,-23.761303,-0.200958,149.557205,24.017076,0.078587,150.12001,-19.865814,-1.364319,94.728317,19.596535,-0.852875,93.473259,-16.057234,-0.053017,54.185532,16.607386,0.318825,53.253941,-10.585955,-6.357449,9.255253,10.564793,-6.310448,9.190181,-13.858407,4.286015,3.984299,13.545729,4.510597,3.501655
29,-1.468067,0.36393,105.23452,1.481218,-0.275402,105.778099,-23.759588,-0.158764,149.635971,24.0114,0.106468,150.178024,-19.858391,-1.472725,94.727776,19.604521,-0.956753,93.469582,-16.04715,-0.508583,54.187237,16.60438,-0.103611,53.246151,-10.577467,-6.945782,9.263293,10.559189,-6.904488,9.201534,-13.851085,3.693943,3.974694,13.543527,3.910942,3.489987
29.5,-1.464495,0.362427,105.257515,1.475645,-0.283344,105.787918,-23.756275,-0.111637,149.710251,24.003565,0.13665,150.22934,-19.848825,-1.583031,94.725143,19.611244,-1.060017,93.463364,-16.036812,-0.957645,54.189613,16.599827,-0.521023,53.238811,-10.570794,-7.531887,9.272624,10.554686,-7.495407,9.214981,-13.843813,3.103409,3.965608,13.539968,3.313354,3.47905
30,-1.460105,0.360249,105.277458,1.469883,-0.291107,105.795387,-23.749458,-0.060909,149.780182,23.994352,0.168682,150.277344,-19.836807,-1.696709,94.721062,19.616383,-1.16296,93.456032,-16.02669,-1.400051,54.192848,16.594664,-0.934467,53.231636,-10.565953,-8.115894,9.283316,10.550287,-8.085056,9.228848,-13.835931,2.514168,3.957445,13.536248,2.717079,3.469043
30.5,-1.45573,0.357414,105.293816,1.462948,-0.299053,105.79744,-23.740793,-0.007496,149.843567,23.981518,0.203911,150.318512,-19.825069,-1.812149,94.715607,19.618753,-1.265255,93.445366,-16.017984,-1.83466,54.197025,16.589111,-1.34053,53.224056,-10.56233,-8.69828,9.294889,10.546933,-8.671364,9.244597,-13.828359,1.925289,3.951635,13.533677,2.123241,3.461848
31,-1.450574,0.354088,105.306595,1.455777,-0.307266,105.794395,-23.73008,0.049789,149.901382,23.96612,0.241093,150.351868,-19.811245,-1.929836,94.708229,19.618351,-1.366016,93.432617,-16.011204,-2.259918,54.20211,16.583935,-1.738064,53.217186,-10.560072,-9.279152,9.307544,10.544557,-9.254147,9.262599,-13.821506,1.33614,3.948377,13.530622,1.530067,3.457688
31.5,-1.445303,0.350075,105.31572,1.448676,-0.315392,105.789612,-23.716549,0.109417,149.953247,23.949984,0.279018,150.382797,-19.798325,-2.050144,94.699471,19.617119,-1.466274,93.419128,-16.006325,-2.675926,54.208118,16.578913,-2.132301,53.21032,-10.559656,-9.858948,9.321169,10.542335,-9.83604,9.280924,-13.815346,0.746536,3.947332,13.52751,0.937267,3.454444
32,-1.440022,0.345364,105.321465,1.441205,-0.323578,105.779732,-23.700188,0.170166,149.999893,23.930496,0.319347,150.407867,-19.787148,-2.170918,94.688751,19.612623,-1.564392,93.402939,-16.002886,-3.085777,54.214073,16.575123,-2.518631,53.202724,-10.560059,-10.438217,9.335592,10.54059,-10.415253,9.300548,-13.809527,0.156227,3.948232,13.525584,0.345661,3.454587
32.5,-1.434206,0.339859,105.322899,1.43378,-0.332096,105.763985,-23.681494,0.232365,150.040131,23.908436,0.361073,150.425034,-19.776531,-2.291592,94.675201,19.605167,-1.659901,93.383926,-16.001865,-3.487785,54.219822,16.572744,-2.896702,53.194653,-10.560283,-11.017139,9.350451,10.538899,-10.99234,9.321531,-13.80482,-0.435505,3.952222,13.524344,-0.246983,3.457982
33,-1.428115,0.333923,105.320152,1.426423,-0.340572,105.746361,-23.660994,0.296135,150.074249,23.885664,0.403164,150.439682,-19.767479,-2.412567,94.659378,19.597198,-1.754509,93.36393,-16.002991,-3.882069,54.225349,16.571012,-3.271801,53.186344,-10.56132,-11.596302,9.365816,10.537145,-11.568737,9.34276,-13.80138,-1.029106,3.958322,13.523456,-0.839859,3.46246
33.5,-1.421903,0.32745,105.313835,1.419184,-0.348904,105.723976,-23.638008,0.360065,150.103348,23.860817,0.446499,150.449127,-19.760902,-2.532433,94.641106,19.587641,-1.846035,93.340942,-16.005255,-4.271786,54.230068,16.570835,-3.641663,53.176754,-10.563003,-12.175655,9.381923,10.535285,-12.143848,9.364575,-13.798532,-1.623676,3.965429,13.523401,-1.433262,3.469031
34,-1.41504,0.320343,105.302322,1.411933,-0.357292,105.695206,-23.612385,0.423428,150.125626,23.833586,0.490852,150.450882,-19.75769,-2.648132,94.618347,19.576385,-1.933258,93.313614,-16.008406,-4.657532,54.233093,16.571911,-4.006096,53.165386,-10.563525,-12.755573,9.398289,10.532515,-12.718578,9.386586,-13.797076,-2.219608,3.973894,13.52464,-2.028095,3.477046
34.5,-1.407348,0.313007,105.286461,1.404635,-0.365612,105.663551,-23.585268,0.487823,150.14241,23.805508,0.535542,150.449127,-19.755089,-2.761478,94.592377,19.564707,-2.018539,93.284264,-16.012711,-5.039566,54.234669,16.573664,-4.367985,53.153194,-10.563516,-13.33626,9.415022,10.528937,-13.293137,9.408465,-13.796371,-2.817238,3.983412,13.526756,-2.623634,3.48585
35,-1.39939,0.305454,105.266365,1.397407,-0.373749,105.628143,-23.557352,0.55175,150.153137,23.776829,0.580227,150.442871,-19.755232,-2.871185,94.563217,19.55356,-2.100662,93.251846,-16.017429,-5.418732,54.234753,16.576231,-4.728203,53.139732,-10.563615,-13.917542,9.432348,10.525076,-13.867716,9.430531,-13.796797,-3.415459,3.992803,13.529535,-3.220341,3.494983
35.5,-1.390151,0.297691,105.24128,1.389951,-0.381458,105.586433,-23.526756,0.614536,150.157684,23.746305,0.625458,150.428833,-19.758118,-2.973995,94.529198,19.542925,-2.176697,93.213905,-16.021097,-5.796513,54.232887,16.578749,-5.085831,53.124237,-10.563111,-14.499142,9.450814,10.520044,-14.442883,9.45233,-13.798575,-4.013756,4.001142,13.53312,-3.817974,3.503144
36,-1.379873,0.289848,105.211823,1.381991,-0.388901,105.540359,-23.494808,0.677364,150.156708,23.715071,0.670815,150.409378,-19.762022,-3.071541,94.491364,19.532604,-2.248573,93.172012,-16.024155,-6.173855,54.229229,16.581051,-5.441776,53.107204,-10.56149,-15.081144,9.469804,10.513336,-15.018663,9.473544,-13.800132,-4.612392,4.008635,13.537933,-4.416035,3.510472
36.5,-1.368629,0.282166,105.177696,1.373725,-0.396271,105.492294,-23.4632,0.739647,150.148804,23.683823,0.715534,150.387115,-19.766884,-3.162487,94.449593,19.523157,-2.318104,93.128059,-16.026199,-6.549957,54.223721,16.583189,-5.797729,53.089603,-10.559369,-15.663301,9.489809,10.506345,-15.594761,9.494902,-13.802988,-5.210274,4.014704,13.543106,-5.0145,3.517362
37,-1.355816,0.274509,105.139961,1.36475,-0.402855,105.438232,-23.429869,0.80077,150.135849,23.651426,0.759861,150.356079,-19.771931,-3.246307,94.404388,19.516527,-2.379944,93.077911,-16.026531,-6.923634,54.217548,16.583916,-6.151886,53.070824,-10.557814,-16.24457,9.512077,10.498668,-16.171513,9.516478,-13.806962,-5.806896,4.018958,13.548276,-5.613312,3.521581
37.5,-1.34185,0.26701,105.098297,1.354381,-0.408821,105.379799,-23.395298,0.861301,150.117157,23.618649,0.803539,150.318573,-19.778217,-3.322948,94.355667,19.510807,-2.435146,93.022972,-16.024876,-7.29644,54.210529,16.582481,-6.503353,53.050957,-10.556102,-16.825096,9.535852,10.489496,-16.748636,9.538061,-13.810225,-6.402252,4.020662,13.553857,-6.210854,3.523155
38,-1.326323,0.259804,105.05278,1.343607,-0.414738,105.320427,-23.360731,0.921143,150.092194,23.585819,0.846718,150.279602,-19.782921,-3.391796,94.303429,19.505392,-2.488667,92.96685,-16.021082,-7.667229,54.202595,16.580482,-6.854645,53.030899,-10.554214,-17.404324,9.561634,10.480002,-17.325796,9.559797,-13.813761,-6.995441,4.02013,13.559581,-6.808205,3.524253
38.5,-1.309317,0.252602,105.004822,1.33119,-0.420013,105.256432,-23.325695,0.97961,150.0625,23.552374,0.887951,150.231979,-19.785938,-3.453632,94.249275,19.503016,-2.534122,92.905449,-16.015741,-8.03199,54.195328,16.575802,-7.201942,53.011196,-10.553225,-17.981445,9.5905,10.470372,-17.902794,9.58285,-13.818476,-7.586662,4.018605,13.564521,-7.404747,3.522442
39,-1.290946,0.245628,104.954414,1.316576,-0.424297,105.18943,-23.289633,1.037025,150.02803,23.51824,0.927521,150.178253,-19.787855,-3.508686,94.193237,19.501099,-2.570934,92.839951,-16.008598,-8.390995,54.188869,16.567846,-7.541405,52.991734,-10.554031,-18.556089,9.622607,10.46064,-18.478086,9.607991,-13.822372,-8.17606,4.014634,13.568836,-7.998692,3.518356
39.5,-1.27113,0.238796,104.901573,1.301343,-0.428425,105.12146,-23.252569,1.093185,149.988541,23.483967,0.966545,150.122787,-19.787786,-3.556656,94.135017,19.499365,-2.605595,92.773254,-15.999271,-8.74453,54.183155,16.558813,-7.879314,52.972202,-10.555556,-19.127945,9.657691,10.450659,-19.053141,9.633537,-13.825364,-8.76276,4.008688,13.572749,-8.59201,3.513507
40,-1.249921,0.231834,104.847267,1.283991,-0.432327,105.051292,-23.21521,1.147449,149.944916,23.4492,1.002686,150.061539,-19.784697,-3.597813,94.075935,19.498228,-2.633663,92.703751,-15.988727,-9.087135,54.178967,16.547102,-8.209583,52.953838,-10.557939,-19.696646,9.696544,10.44096,-19.626472,9.661418,-13.829325,-9.347801,4.002985,13.575629,-9.183636,3.507276
40.5,-1.227312,0.224628,104.791985,1.263832,-0.435181,104.979553,-23.177095,1.199554,149.897797,23.412943,1.035831,149.995285,-19.777868,-3.633453,94.016922,19.496136,-2.651989,92.631439,-15.977793,-9.416435,54.176567,16.532192,-8.523544,52.9366,-10.563383,-20.261185,9.740597,10.432728,-20.195383,9.694513,-13.832436,-9.931423,3.997073,13.577248,-9.772755,3.501202
41,-1.203774,0.217369,104.735809,1.242478,-0.437748,104.906944,-23.137489,1.249821,149.847458,23.376078,1.067719,149.926804,-19.76956,-3.664024,93.957283,19.49375,-2.666882,92.557991,-15.965794,-9.735703,54.175858,16.515856,-8.832027,52.919518,-10.570431,-20.822416,9.78809,10.424927,-20.762989,9.729165,-13.834431,-10.513458,3.990426,13.577856,-10.360901,3.494796
41.5,-1.178823,0.209652,104.678871,1.219464,-0.440319,104.83371,-23.09605,1.297066,149.794174,23.338718,1.09687,149.855591,-19.758068,-3.68837,93.897324,19.489916,-2.677105,92.48362,-15.953008,-10.038635,54.176899,16.497604,-9.130733,52.903114,-10.578627,-21.37952,9.840278,10.417638,-21.327871,9.766593,-13.836501,-11.09494,3.985245,13.577509,-10.947529,3.488513
42,-1.152822,0.20092,104.62188,1.193501,-0.442383,104.759773,-23.053934,1.340343,149.738922,23.29911,1.121891,149.781097,-19.742439,-3.708252,93.838646,19.482498,-2.678493,92.407669,-15.941289,-10.321705,54.178982,16.477448,-9.406132,52.886978,-10.589456,-21.931845,9.898847,10.412346,-21.886522,9.811588,-13.837742,-11.676186,3.98271,13.576419,-11.532837,3.485495
42.5,-1.126125,0.191887,104.564819,1.165693,-0.444077,104.68541,-23.010416,1.381317,149.681915,23.257669,1.144306,149.704803,-19.724674,-3.724541,93.780327,19.473509,-2.674694,92.330933,-15.929953,-10.590496,54.182297,16.456047,-9.66798,52.870621,-10.60227,-22.480837,9.961515,10.408752,-22.441555,9.860879,-13.838788,-12.257359,3.981452,13.574116,-12.117516,3.484138
43,-1.098166,0.181698,104.507385,1.13711,-0.44582,104.610779,-22.963051,1.416843,149.623795,23.215826,1.164913,149.627487,-19.705311,-3.735603,93.722038,19.463015,-2.668373,92.253944,-15.918718,-10.837406,54.186127,16.433989,-9.922165,52.853966,-10.616592,-23.025331,10.029952,10.405744,-22.994425,9.912441,-13.838934,-12.839808,3.983065,13.571373,-12.7017,3.483545
43.5,-1.069528,0.170265,104.44989,1.105802,-0.447666,104.535423,-22.914452,1.447781,149.565125,23.171305,1.180592,149.548157,-19.683844,-3.742718,93.664619,19.446455,-2.65414,92.175941,-15.908516,-11.06469,54.188999,16.410948,-10.148293,52.835339,-10.631877,-23.566065,10.104187,10.404788,-23.539995,9.973183,-13.838558,-13.422968,3.987997,13.56897,-13.285395,3.487989
44,-1.040098,0.157867,104.392227,1.072813,-0.449352,104.459549,-22.864191,1.474838,149.505798,23.12356,1.192825,149.468048,-19.659943,-3.746552,93.607864,19.427427,-2.63443,92.097122,-15.899466,-11.273994,54.190884,16.387754,-10.354977,52.814522,-10.64838,-24.103493,10.183576,10.406122,-24.080538,10.040841,-13.839065,-14.006916,3.996511,13.566772,-13.8699,3.496457
44.5,-1.009567,0.143997,104.334053,1.039325,-0.451065,104.383339,-22.809858,1.495209,149.446533,23.075224,1.203732,149.38736,-19.636168,-3.745579,93.551041,19.4072,-2.613113,92.018066,-15.890752,-11.460869,54.190865,16.364607,-10.555428,52.792892,-10.66606,-24.637043,10.269159,10.408121,-24.619431,10.110481,-13.839018,-14.593029,4.008424,13.564431,-14.454445,3.5059
45,-0.978226,0.12886,104.275185,1.004198,-0.453087,104.305679,-22.752848,1.510113,149.387451,23.024199,1.210014,149.305084,-19.612267,-3.740158,93.494194,19.381308,-2.585163,91.937881,-15.882117,-11.62862,54.187737,16.340858,-10.72916,52.766666,-10.683761,-25.16725,10.360587,10.412357,-25.151543,10.189743,-13.838629,-15.18005,4.022989,13.563826,-15.039406,3.520007
45.5,-0.946068,0.112442,104.215607,0.967703,-0.45528,104.226517,-22.693792,1.520229,149.3284,22.969458,1.212677,149.221664,-19.587801,-3.730984,93.437561,19.352732,-2.551983,91.856316,-15.873486,-11.779339,54.181114,16.317263,-10.88163,52.736027,-10.70079,-25.694708,10.457357,10.418408,-25.678534,10.277432,-13.839659,-15.767166,4.041147,13.565271,-15.625593,3.538284
46,-0.91256,0.094566,104.155128,0.930779,-0.45755,104.146828,-22.631342,1.523563,149.269791,22.913403,1.213806,149.137848,-19.563595,-3.71664,93.380707,19.323151,-2.517052,91.774269,-15.864652,-11.909683,54.170128,16.294043,-11.026611,52.703678,-10.71844,-26.218733,10.560828,10.425308,-26.203644,10.367916,-13.841711,-16.355808,4.062614,13.567397,-16.212305,3.558084
46.5,-0.877954,0.075569,104.093277,0.893231,-0.459892,104.065262,-22.565577,1.520363,149.211411,22.855106,1.211571,149.052094,-19.54076,-3.696716,93.323181,19.29052,-2.477135,91.691017,-15.854365,-12.021446,54.154076,16.269983,-11.151756,52.666245,-10.735578,-26.738867,10.670917,10.434614,-26.723761,10.466835,-13.843639,-16.944298,4.085547,13.571852,-16.799349,3.580333
47,-0.842098,0.055653,104.030502,0.854496,-0.462379,103.9813,-22.496775,1.512501,149.153427,22.793243,1.205929,148.963547,-19.519264,-3.672073,93.265633,19.256083,-2.431728,91.606239,-15.841407,-12.11694,54.132988,16.244404,-11.255054,52.622902,-10.750504,-27.255583,10.78712,10.444926,-27.238298,10.575459,-13.847206,-17.531219,4.110083,13.579672,-17.386433,3.604592
47.5,-0.804768,0.034721,103.966682,0.815545,-0.465046,103.896324,-22.42555,1.499096,149.095749,22.729559,1.198296,148.874298,-19.497953,-3.642002,93.207932,19.221262,-2.383877,91.520531,-15.826969,-12.196739,54.106899,16.219086,-11.349079,52.57666,-10.765356,-27.768829,10.909815,10.456346,-27.75054,10.688498,-13.853327,-18.117432,4.136948,13.589379,-17.974005,3.630117
48,-0.765979,0.013035,103.901428,0.776219,-0.46735,103.810013,-22.351971,1.478664,149.037781,22.664003,1.188755,148.78299,-19.478054,-3.605099,93.149757,19.185663,-2.332516,91.434135,-15.809288,-12.257633,54.074455,16.192287,-11.430012,52.526974,-10.779356,-28.27635,11.04076,10.469552,-28.259087,10.807929,-13.85995,-18.701155,4.164252,13.601192,-18.56115,3.656326
48.5,-0.725123,-0.008411,103.836082,0.735641,-0.469097,103.722031,-22.274399,1.454697,148.980774,22.595432,1.176201,148.68782,-19.459597,-3.562519,93.092339,19.150379,-2.274902,91.347664,-15.785656,-12.299721,54.037086,16.160921,-11.487598,52.471886,-10.790531,-28.776762,11.180181,10.483947,-28.759748,10.938897,-13.868534,-19.281084,4.190952,13.616225,-19.14613,3.681312
49,-0.682867,-0.030243,103.770241,0.694835,-0.470798,103.632965,-22.194616,1.426807,148.923996,22.52528,1.161564,148.59082,-19.442095,-3.514923,93.035225,19.115858,-2.213936,91.260605,-15.759414,-12.329487,53.995975,16.12837,-11.533955,52.413929,-10.801213,-29.272978,11.325564,10.499272,-29.256863,11.076234,-13.879499,-19.858387,4.21843,13.633689,-19.730078,3.705948
49.5,-0.638636,-0.051777,103.704483,0.653667,-0.47192,103.543465,-22.114145,1.393036,148.866943,22.453579,1.145859,148.49231,-19.424334,-3.459442,92.979286,19.081512,-2.150135,91.17337,-15.72733,-12.335148,53.948956,16.093863,-11.570232,52.354004,-10.810633,-29.758127,11.482891,10.515388,-29.750465,11.218523,-13.892495,-20.429604,4.246054,13.652601,-20.313046,3.730547
50,-0.592284,-0.071922,103.640434,0.610629,-0.471184,103.455376,-22.030649,1.357555,148.811508,22.379374,1.128117,148.391739,-19.406281,-3.399185,92.925491,19.04892,-2.079922,91.088943,-15.689146,-12.320747,53.899315,16.052692,-11.580471,52.291527,-10.818124,-30.232021,11.649932,10.533131,-30.231289,11.374113,-13.907066,-20.996212,4.273407,13.673087,-20.891603,3.75315
50.5,-0.544164,-0.091293,103.577621,0.566736,-0.469524,103.36795,-21.944687,1.319675,148.756958,22.304285,1.108265,148.288803,-19.389038,-3.334103,92.873238,19.01791,-2.004894,91.00621,-15.646328,-12.289101,53.847477,16.007437,-11.572411,52.227673,-10.824661,-30.696913,11.825413,10.551634,-30.703564,11.53968,-13.922767,-21.558475,4.300436,13.694808,-21.466547,3.773856
51,-0.494305,-0.109085,103.517815,0.522577,-0.467255,103.280815,-21.858913,1.278793,148.703888,22.228275,1.087776,148.18515,-19.369835,-3.262653,92.824417,18.987677,-1.927521,90.92379,-15.597835,-12.228512,53.792984,15.960143,-11.556328,52.162971,-10.830194,-31.144936,12.015092,10.570243,-31.17231,11.709188,-13.940864,-22.113316,4.329119,13.717353,-22.040222,3.794249
51.5,-0.442494,-0.124714,103.461929,0.475577,-0.461819,103.199303,-21.771944,1.23703,148.653366,22.149992,1.066071,148.08374,-19.348387,-3.18705,92.779182,18.958567,-1.843712,90.846962,-15.543879,-12.141396,53.73735,15.905776,-11.505802,52.098003,-10.834144,-31.575418,12.21751,10.589983,-31.619614,11.895343,-13.959942,-22.662458,4.360379,13.739048,-22.607365,3.816029
52,-0.388917,-0.138245,103.409973,0.426959,-0.454197,103.122299,-21.683208,1.195015,148.605698,22.071472,1.042686,147.983185,-19.325619,-3.108128,92.737076,18.930714,-1.7547,90.77523,-15.485889,-12.03035,53.681568,15.845849,-11.428009,52.033642,-10.837672,-31.98996,12.431468,10.610436,-32.050331,12.09522,-13.97877,-23.207378,4.393613,13.759645,-23.169203,3.838258
52.5,-0.334067,-0.149193,103.363968,0.377611,-0.445431,103.047119,-21.594551,1.152069,148.562195,21.992727,1.018703,147.882721,-19.300573,-3.025074,92.699966,18.903612,-1.662762,90.705345,-15.423875,-11.88406,53.625885,15.783061,-11.337452,51.969475,-10.8404,-32.381084,12.661839,10.631001,-32.473434,12.301294,-13.998497,-23.744947,4.431624,13.77986,-23.72831,3.860357
53,-0.277731,-0.157341,103.324593,0.325618,-0.433216,102.980042,-21.50621,1.109444,148.523361,21.912477,0.994366,147.789169,-19.271547,-2.939297,92.667809,18.876303,-1.565838,90.641563,-15.358165,-11.702423,53.570408,15.715575,-11.20911,51.905334,-10.841549,-32.746834,12.908678,10.65102,-32.869331,12.524752,-14.018309,-24.275909,4.476993,13.797557,-24.280321,3.889954
