[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm)
0,-2.505274,1.5561075,97.3337,-2.505274,1.5561075,97.3337,-19.100284,9.6961075,137.592,17.235916,4.2631075,140.708,-20.684084,-5.0469925,89.9484,15.638716,1.9073075,84.6316,-21.138584,-18.5871925,51.3029,12.419416,9.4176075,47.059,-23.902984,-23.3639925,11.4859,9.232516,11.6850075,9.42197,-27.527584,-11.6120925,1.6183,13.907816,25.7665075,4.55059
0.5,-2.359624,1.5703075,97.2255,-2.359624,1.5703075,97.2255,-18.857984,9.5983075,137.508,17.496316,4.4736075,140.62,-20.516284,-5.0647925,89.9476,15.663416,2.2329075,84.4295,-21.092984,-18.6728925,51.3566,12.442416,8.9900075,46.6736,-23.834684,-23.7245925,11.5222,9.187816,11.4688075,9.12459,-27.542984,-12.0281925,1.62561,13.850216,25.5294075,4.11945
1,-2.213664,1.5846075,97.1175,-2.213664,1.5846075,97.1175,-18.615184,9.5003075,137.425,17.757216,4.6845075,140.531,-20.348384,-5.0825925,89.9473,15.688316,2.5586075,84.2276,-21.047684,-18.7578925,51.4105,12.466016,8.5630075,46.2894,-23.767084,-24.0847925,11.5589,9.143216,11.2521075,8.82829,-27.557984,-12.4443925,1.63272,13.793316,25.2914075,3.68851
1.5,-2.051844,1.6118075,97.0445,-2.051844,1.6118075,97.0445,-18.352884,9.4080075,137.375,18.055616,4.9274075,140.442,-20.180684,-5.1077925,89.9754,15.714916,2.8664075,84.0775,-21.008984,-18.7968925,51.4735,12.535116,8.2090075,46.0266,-23.718184,-24.4174925,11.6339,9.118616,11.0368075,8.62521,-27.552984,-12.8688925,1.63389,13.769816,25.0209075,3.31362
2,-1.889494,1.6394075,96.9729,-1.889494,1.6394075,96.9729,-18.090084,9.3161075,137.326,18.355416,5.1714075,140.354,-20.012984,-5.1332925,90.0045,15.741616,3.1732075,83.9294,-20.970384,-18.8344925,51.5368,12.605416,7.8575075,45.768,-23.669684,-24.7492925,11.7104,9.094716,10.8216075,8.42543,-27.547184,-13.2936925,1.63486,13.747616,24.7497075,2.94128
2.5,-1.714824,1.6810075,96.9535,-1.714824,1.6810075,96.9535,-17.831184,9.2580075,137.326,18.677516,5.4395075,140.29,-19.840384,-5.1669925,90.0756,15.788116,3.4302075,83.8553,-20.929084,-18.8248925,51.6137,12.722716,7.6018075,45.6464,-23.651084,-25.0476925,11.838,9.101716,10.6101075,8.32196,-27.528884,-13.7244925,1.63656,13.764716,24.4623075,2.67422
3,-1.539134,1.7231075,96.9377,-1.539134,1.7231075,96.9377,-17.571784,9.2017075,137.328,19.000716,5.7092075,140.228,-19.666884,-5.2009925,90.1497,15.836916,3.6834075,83.7866,-20.888484,-18.8126925,51.6919,12.841716,7.3517075,45.5331,-23.632284,-25.3440925,11.9684,9.110416,10.3979075,8.22447,-27.510484,-14.1553925,1.63878,13.784016,24.1738075,2.41463
3.5,-1.356344,1.7757075,96.9786,-1.356344,1.7757075,96.9786,-17.331184,9.1961075,137.384,19.327416,5.9920075,140.211,-19.481884,-5.2447925,90.2706,15.916516,3.8735075,83.7941,-20.840584,-18.7582925,51.7878,12.990816,7.1776075,45.5329,-23.641184,-25.6091925,12.1502,9.150316,10.1735075,8.20281,-27.492384,-14.5850925,1.65142,13.835016,23.8741075,2.27645
4,-1.172474,1.8287075,97.0255,-1.172474,1.8287075,97.0255,-17.090384,9.1946075,137.446,19.652816,6.2757075,140.198,-19.294284,-5.2892925,90.3973,16.000916,4.0565075,83.8092,-20.794384,-18.6998925,51.8867,13.140916,7.0099075,45.5423,-23.650084,-25.8715925,12.3358,9.193216,9.9457075,8.18763,-27.475984,-15.0141925,1.66585,13.888716,23.5720075,2.15046
4.5,-0.986514,1.8852075,97.1199,-0.986514,1.8852075,97.1199,-16.868484,9.2413075,137.555,19.965416,6.5627075,140.233,-19.090384,-5.3462925,90.5657,16.116316,4.1848075,83.8823,-20.744784,-18.6057925,52.0057,13.295416,6.8672075,45.6148,-23.671984,-26.1104925,12.5618,9.256616,9.6841075,8.21414,-27.470084,-15.4345925,1.69929,13.957316,23.2568075,2.12705
5,-0.800174,1.9416075,97.2209,-0.800174,1.9416075,97.2209,-16.646884,9.2934075,137.671,20.273516,6.8487075,140.276,-18.882284,-5.4047925,90.7416,16.237016,4.3055075,83.9618,-20.697784,-18.5062925,52.129,13.448616,6.7263075,45.6936,-23.694984,-26.3467925,12.7922,9.323216,9.4155075,8.24431,-27.467484,-15.8536925,1.73586,14.027316,22.9375075,2.1167
