[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm)
0,-2.6862855,1.24765,92.4179,-2.6862855,1.24765,92.4179,-21.3389755,4.65255,132.352,16.9495245,2.59755,132.821,-20.8384755,-3.82685,84.4318,13.5398245,-1.57075,81.0172,-17.9598755,-6.43015,47.7419,15.0551245,13.47325,46.4848,-15.9168355,-6.02315,6.03293,9.7192245,4.64885,7.93931,-23.6164755,2.03155,1.99804,14.7838245,12.64625,2.37647
0.5,-2.6084155,1.26365,92.3782,-2.6084155,1.26365,92.3782,-21.1944755,4.59055,132.352,17.1098245,2.67705,132.781,-20.7445755,-3.86465,84.4353,13.6255245,-1.49465,80.9801,-17.8839755,-6.52475,47.7591,14.7924245,13.45375,46.3122,-15.8941155,-6.25185,6.0477,9.5891245,5.19295,7.56329,-23.6028755,1.78935,2.00636,14.6600245,13.26285,2.11861
1,-2.5275255,1.27815,92.3404,-2.5275255,1.27815,92.3404,-21.0448755,4.52445,132.354,17.2763245,2.76055,132.742,-20.6486755,-3.90115,84.4392,13.7140245,-1.41365,80.9429,-17.8070755,-6.61095,47.7767,14.5242245,13.43225,46.1415,-15.8724855,-6.48005,6.06285,9.4616245,5.67045,7.21671,-23.5899755,1.54765,2.01515,14.5451245,13.80105,1.88795
1.5,-2.4392955,1.28955,92.307,-2.4392955,1.28955,92.307,-20.8836755,4.44865,132.361,17.4580245,2.85375,132.703,-20.5474755,-3.93405,84.444,13.8083245,-1.32185,80.9044,-17.7282755,-6.67655,47.7945,14.2438245,13.40825,45.9752,-15.8542355,-6.70675,6.07903,9.3440245,5.98805,6.9394,-23.5793755,1.30775,2.02536,14.4516245,14.15465,1.71995
2,-2.3501455,1.30035,92.2752,-2.3501455,1.30035,92.2752,-20.7203755,4.37255,132.37,17.6398245,2.94715,132.666,-20.4458755,-3.96675,84.4491,13.9032245,-1.22935,80.8673,-17.6488755,-6.73845,47.8116,13.9645245,13.38455,45.812,-15.8359455,-6.93325,6.09524,9.2310245,6.28325,6.67137,-23.5687755,1.06785,2.03557,14.3629245,14.48335,1.55869
2.5,-2.2546555,1.30895,92.2508,-2.2546555,1.30895,92.2508,-20.5482755,4.29145,132.388,17.8314245,3.04845,132.632,-20.3387755,-4.00135,84.4557,14.0009245,-1.12865,80.8343,-17.5675755,-6.77995,47.8286,13.6877245,13.36495,45.6652,-15.8184855,-7.16025,6.11197,9.1316245,6.44925,6.46661,-23.5597755,0.82785,2.04679,14.2922245,14.66405,1.44998
3,-2.1540355,1.31585,92.2334,-2.1540355,1.31585,92.2334,-20.3694755,4.20695,132.414,18.0284245,3.15515,132.603,-20.2271755,-4.03735,84.4635,14.1012245,-1.02245,80.8063,-17.4839755,-6.80185,47.8437,13.4176245,13.34935,45.5341,-15.8028155,-7.38665,6.13004,9.0500245,6.51125,6.31043,-23.5522755,0.58865,2.05887,14.2386245,14.72865,1.37858
3.5,-2.0517755,1.32225,92.2182,-2.0517755,1.32225,92.2182,-20.1886755,4.12215,132.444,18.2275245,3.26335,132.575,-20.1143755,-4.07435,84.472,14.2016245,-0.91485,80.7801,-17.3998755,-6.81885,47.8587,13.1520245,13.33435,45.4086,-15.7866155,-7.61325,6.14838,8.9728245,6.54355,6.16893,-23.5450755,0.34885,2.07143,14.1887245,14.76025,1.31741
4,-1.9423255,1.32675,92.2159,-1.9423255,1.32675,92.2159,-19.9997755,4.03425,132.491,18.4310245,3.37855,132.556,-19.9935755,-4.11865,84.4837,14.3031245,-0.80015,80.7657,-17.3137755,-6.80525,47.8722,12.9092245,13.32545,45.3132,-15.7690455,-7.84075,6.16972,8.9230245,6.45605,6.09163,-23.5381755,0.10735,2.08495,14.1587245,14.65915,1.30091
4.5,-1.8303655,1.33055,92.2187,-1.8303655,1.33055,92.2187,-19.8087755,3.94525,132.545,18.6357245,3.49655,132.54,-19.8705755,-4.16575,84.497,14.4051245,-0.68345,80.7567,-17.2269755,-6.77885,47.8844,12.6782245,13.31665,45.2298,-15.7507355,-8.06745,6.19304,8.8842245,6.32415,6.03585,-23.5304755,-0.13425,2.09909,14.1363245,14.50965,1.29754
5,-1.7147155,1.33325,92.2283,-1.7147155,1.33325,92.2283,-19.6149755,3.85535,132.608,18.8427245,3.61735,132.528,-19.7438755,-4.21705,84.5132,14.5064245,-0.56465,80.755,-17.1390755,-6.73915,47.8969,12.4668245,13.30645,45.1617,-15.7300655,-8.29435,6.2191,8.8586245,6.14625,6.00556,-23.5225755,-0.37785,2.11429,14.1204245,14.31155,1.3077
