[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm)
0,-1.387365763,-1.1648685,88.2982,-1.387365763,-1.1648685,88.2982,-19.86581576,2.4377315,131.116,15.63948424,-5.4910685,127.387,-19.82251576,-1.9936685,77.4997,15.68908424,-2.0958685,78.66,-15.06441576,-2.1493685,38.7391,16.32408424,9.8314315,43.1328,-8.385845763,-17.2724685,4.22513,11.46677424,4.0438315,4.47369,-11.45501576,-7.3884685,0.253241,14.70418424,13.4262315,0.302703
0.5,-1.352945763,-1.1338685,88.2367,-1.352945763,-1.1338685,88.2367,-19.78861576,2.4253315,131.086,15.73848424,-5.4290685,127.306,-19.80651576,-1.9571685,77.4541,15.69368424,-1.9900685,78.5702,-15.06001576,-2.1482685,38.687,16.26758424,9.8652315,43.0269,-8.381615763,-17.3912685,4.22958,11.38269424,4.0178315,4.37098,-11.46391576,-7.5182685,0.263142,14.66038424,13.3809315,0.312594
1,-1.318525763,-1.1028685,88.1751,-1.318525763,-1.1028685,88.1751,-19.71141576,2.4130315,131.055,15.83748424,-5.3669685,127.225,-19.79031576,-1.9203685,77.4083,15.69808424,-1.8843685,78.4804,-15.05561576,-2.1466685,38.6346,16.21138424,9.8990315,42.9213,-8.377745763,-17.5100685,4.23428,11.29851424,3.9900315,4.26872,-11.47291576,-7.6480685,0.273158,14.61638424,13.3339315,0.322611
1.5,-1.283755763,-1.0714685,88.1139,-1.283755763,-1.0714685,88.1139,-19.63311576,2.4016315,131.025,15.93578424,-5.3043685,127.144,-19.77271576,-1.8829685,77.3623,15.70238424,-1.7794685,78.3916,-15.05111576,-2.1441685,38.5814,16.15568424,9.9346315,42.817,-8.374575763,-17.6289685,4.23993,11.21483424,3.9598315,4.16818,-11.48331576,-7.7775685,0.283337,14.57318424,13.2838315,0.333174
2,-1.243425763,-1.0360685,88.0536,-1.243425763,-1.0360685,88.0536,-19.55111576,2.3976315,130.994,16.03768424,-5.2365685,127.06,-19.74011576,-1.8374685,77.3098,15.70498424,-1.6784685,78.3095,-15.03601576,-2.1240685,38.5196,16.11088424,9.9853315,42.7261,-8.378155763,-17.7477685,4.25632,11.14380424,3.8885315,4.09013,-11.49511576,-7.9050685,0.291809,14.53448424,13.1910315,0.347958
2.5,-1.202965763,-1.0005685,87.9932,-1.202965763,-1.0005685,87.9932,-19.46911576,2.3936315,130.964,16.13958424,-5.1685685,126.975,-19.70711576,-1.7918685,77.2569,15.70738424,-1.5775685,78.2276,-15.02061576,-2.1033685,38.4576,16.06658424,10.0358315,42.6352,-8.381825763,-17.8664685,4.27287,11.07297424,3.8159315,4.01231,-11.50661576,-8.0326685,0.30007,14.49528424,13.0969315,0.362596
3,-1.161465763,-0.9643685,87.9338,-1.161465763,-0.9643685,87.9338,-19.38451576,2.3919315,130.934,16.24018424,-5.0997685,126.892,-19.67231576,-1.7457685,77.2042,15.71058424,-1.4789685,78.1472,-15.00531576,-2.0804685,38.395,16.02608424,10.0912315,42.5477,-8.387215763,-17.9850685,4.29142,11.00521424,3.7407315,3.93936,-11.51941576,-8.1596685,0.30841,14.45808424,12.9996315,0.377242
3.5,-1.113915763,-0.9232685,87.8775,-1.113915763,-0.9232685,87.8775,-19.29711576,2.4007315,130.904,16.34158424,-5.0248685,126.809,-19.62561576,-1.6953685,77.1476,15.71748424,-1.3880685,78.076,-14.98271576,-2.0394685,38.3298,16.00408424,10.1671315,42.4762,-8.395265763,-18.1016685,4.3193,10.95863424,3.6434315,3.89298,-11.52871576,-8.2849685,0.312484,14.43048424,12.8797315,0.391333
4,-1.066355763,-0.8820685,87.821,-1.066355763,-0.8820685,87.821,-19.20991576,2.4097315,130.874,16.44278424,-4.9496685,126.726,-19.57861576,-1.6449685,77.0906,15.72428424,-1.2973685,78.0049,-14.95981576,-1.9974685,38.2644,15.98278424,10.2428315,42.4048,-8.403075763,-18.2181685,4.34737,10.91276424,3.5449315,3.84701,-11.53711576,-8.4102685,0.31615,14.40228424,12.7586315,0.404901
4.5,-1.016785763,-0.8399685,87.766,-1.016785763,-0.8399685,87.766,-19.11961576,2.4221315,130.844,16.54368424,-4.8734685,126.645,-19.53061576,-1.5945685,77.0342,15.73328424,-1.2102685,77.9356,-14.93671576,-1.9520685,38.1996,15.97008424,10.3240315,42.3378,-8.412395763,-18.3341685,4.37825,10.87283424,3.4454315,3.80802,-11.54471576,-8.5353685,0.319566,14.37728424,12.6363315,0.417676
