[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
0,-0.471403403,-0.7391445,96.0885,-0.471403403,-0.7391445,96.0885,-21.2814324,-0.2219445,137.877,21.3123676,-2.8397445,136.377,-18.1257324,-2.4681445,86.5702,16.5040676,1.7778555,85.6551,-15.2821324,-13.7392445,48.8549,12.9933676,15.3738555,49.0345,-11.2539324,-33.2266445,12.3482,10.3055376,26.2822555,9.20053,-12.4575324,-24.4824445,3.1655,11.9787676,38.7250555,6.77941
0.5,-0.419004403,-0.7172445,96.0283,-0.419004403,-0.7172445,96.0283,-21.2149324,-0.2059445,137.799,21.4022676,-2.7843445,136.289,-18.0603324,-2.3654445,86.5101,16.5521676,1.8980555,85.6001,-15.2386324,-13.7280445,48.8406,12.9882676,15.4076555,48.9729,-11.2858324,-33.6600445,12.5836,10.2469476,25.9559555,9.07732,-12.4561324,-25.0790445,3.18744,11.9437676,38.3210555,6.43025
1,-0.366497403,-0.6942445,95.9699,-0.366497403,-0.6942445,95.9699,-21.1472324,-0.1895445,137.724,21.4926676,-2.7289445,136.204,-17.9959324,-2.2611445,86.4515,16.5990676,2.0187555,85.5467,-15.1958324,-13.7088445,48.8253,12.9851676,15.4408555,48.9135,-11.3185324,-34.0877445,12.8208,10.1891476,25.6298555,8.95713,-12.4543324,-25.6761445,3.20842,11.9090676,37.9160555,6.08382
1.5,-0.313610403,-0.6689445,95.9136,-0.313610403,-0.6689445,95.9136,-21.0794324,-0.1719445,137.651,21.5827676,-2.6728445,136.12,-17.9310324,-2.1532445,86.3939,16.6475676,2.1414555,85.4971,-15.1519324,-13.6781445,48.8093,12.9800676,15.4812555,48.8591,-11.3494324,-34.5078445,13.0617,10.1330776,25.2874555,8.83857,-12.4517324,-26.2712445,3.22652,11.8760676,37.4900555,5.73121
2,-0.259487403,-0.6315445,95.8714,-0.259487403,-0.6315445,95.8714,-21.0103324,-0.1490445,137.593,21.6717676,-2.6149445,136.051,-17.8655324,-2.0265445,86.3458,16.7004676,2.2730555,85.4692,-15.1075324,-13.5784445,48.7896,12.9700676,15.5463555,48.8302,-11.3743324,-34.8759445,13.3218,10.0873176,24.8850555,8.73289,-12.4432324,-26.8588445,3.23404,11.8497676,36.9910555,5.36801
2.5,-0.205341403,-0.5928445,95.8314,-0.205341403,-0.5928445,95.8314,-20.9402324,-0.1257445,137.539,21.7604676,-2.5564445,135.985,-17.8004324,-1.8986445,86.2989,16.7527676,2.4039555,85.4435,-15.0645324,-13.4680445,48.7676,12.9621676,15.6104555,48.8037,-11.4006324,-35.2354445,13.5835,10.0427376,24.4829555,8.63072,-12.4345324,-27.4471445,3.24241,11.8245676,36.4920555,5.01135
3,-0.150576403,-0.5507445,95.7953,-0.150576403,-0.5507445,95.7953,-20.8693324,-0.0999445,137.489,21.8478676,-2.4966445,135.923,-17.7344324,-1.7668445,86.2545,16.8070676,2.5365555,85.4238,-15.0205324,-13.3398445,48.7443,12.9532676,15.6798555,48.7824,-11.4237324,-35.5811445,13.8504,10.0008076,24.0698555,8.53343,-12.4241324,-28.0344445,3.24908,11.8009676,35.9790555,4.65897
3.5,-0.094437403,-0.4968445,95.7766,-0.094437403,-0.4968445,95.7766,-20.7954324,-0.0668445,137.46,21.9328676,-2.4348445,135.881,-17.6697324,-1.6220445,86.2219,16.8669676,2.6711555,85.4279,-14.9795324,-13.1341445,48.7119,12.9457676,15.7570555,48.7803,-11.4437324,-35.8582445,14.1379,9.970897597,23.6300555,8.4594,-12.4085324,-28.6215445,3.25887,11.7850676,35.4370555,4.34699
4,-0.038211403,-0.4416445,95.7602,-0.038211403,-0.4416445,95.7602,-20.7210324,-0.0333445,137.435,22.0169676,-2.3718445,135.842,-17.6046324,-1.4766445,86.19,16.9277676,2.8038555,85.4348,-14.9406324,-12.9155445,48.6761,12.9398676,15.8324555,48.7803,-11.4655324,-36.1229445,14.4276,9.942377597,23.1888555,8.38848,-12.3933324,-29.2082445,3.27315,11.7711676,34.8940555,4.04431
4.5,0.018928597,-0.3826445,95.7495,0.018928597,-0.3826445,95.7495,-20.6455324,0.0033555,137.416,22.0993676,-2.3073445,135.81,-17.5378324,-1.3286445,86.1617,16.9908676,2.9366555,85.4495,-14.9013324,-12.6722445,48.6371,12.9349676,15.9078555,48.7848,-11.4840324,-36.3651445,14.7247,9.916787597,22.7419555,8.32525,-12.3761324,-29.7949445,3.29103,11.7590676,34.3460555,3.75898
