[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
0,-0.21851955,-1.27271,95.1115,-0.21851955,-1.27271,95.1115,-23.64929955,6.51559,134.053,18.05700045,-1.32011,136.774,-16.41549955,-5.32791,84.745,18.57920045,-1.96051,85.979,-12.03579955,-20.10491,48.3343,15.91606045,11.65209,49.2898,-6.57649955,-40.32742,12.6419,14.17082045,22.92119,9.69086,-7.64789955,-31.69831,3.1663,16.04802045,35.10189,7.55255
0.5,-0.17739955,-1.24531,95.0705,-0.17739955,-1.24531,95.0705,-23.59409955,6.49809,134.028,18.13610045,-1.23061,136.688,-16.34209955,-5.25971,84.6873,18.61620045,-1.76421,85.9441,-11.98929955,-20.15621,48.3584,15.84513045,11.75149,49.2323,-6.60309955,-40.78625,12.8979,14.07744045,22.57839,9.56154,-7.63609955,-32.33581,3.19064,15.94960045,34.68159,7.18997
1,-0.13601955,-1.21651,95.0307,-0.13601955,-1.21651,95.0307,-23.53909955,6.48089,134.004,18.21450045,-1.13991,136.605,-16.26829955,-5.18961,84.6306,18.65370045,-1.56621,85.9116,-11.94249955,-20.20031,48.3813,15.77521045,11.85159,49.1761,-6.62789955,-41.24138,13.1538,13.98884045,22.23089,9.43532,-7.62349955,-32.97251,3.21206,15.85253045,34.25499,6.82652
1.5,-0.09287955,-1.18131,94.9967,-0.09287955,-1.18131,94.9967,-23.48169955,6.46649,133.985,18.29300045,-1.04481,136.529,-16.19369955,-5.11121,84.5789,18.69000045,-1.35991,85.8908,-11.89029955,-20.21311,48.4012,15.70876045,11.95719,49.1292,-6.64279955,-41.67937,13.4145,13.90814045,21.85639,9.31238,-7.60719955,-33.60311,3.22325,15.75743045,33.79509,6.45186
2,-0.04803955,-1.13611,94.9724,-0.04803955,-1.13611,94.9724,-23.42179955,6.45669,133.973,18.36930045,-0.94371,136.465,-16.11829955,-5.02011,84.5348,18.72370045,-1.14351,85.8893,-11.83229955,-20.17471,48.4131,15.64976045,12.07129,49.0965,-6.64809955,-42.08615,13.6792,13.84453045,21.44429,9.20032,-7.58839955,-34.22781,3.22077,15.67179045,33.28899,6.06996
2.5,-0.00307955,-1.09011,94.9491,-0.00307955,-1.09011,94.9491,-23.36209955,6.44749,133.962,18.44510045,-0.84241,136.404,-16.04309955,-4.92791,84.4918,18.75840045,-0.92711,85.8896,-11.77459955,-20.13041,48.4234,15.59167045,12.18509,49.0651,-6.65309955,-42.48926,13.9439,13.78362045,21.03039,9.09067,-7.56949955,-34.85261,3.21775,15.58815045,32.78009,5.69087
3,0.04368045,-1.03431,94.9375,0.04368045,-1.03431,94.9375,-23.29919955,6.44579,133.961,18.51990045,-0.73491,136.359,-15.97039955,-4.82311,84.4586,18.79230045,-0.71041,85.9083,-11.71439955,-20.02891,48.4233,15.54546045,12.30319,49.0503,-6.65299955,-42.85331,14.212,13.73778045,20.59379,8.99619,-7.54739955,-35.47751,3.20262,15.51703045,32.24579,5.33249
3.5,0.09047045,-0.97181,94.9345,0.09047045,-0.97181,94.9345,-23.23609955,6.44969,133.965,18.59240045,-0.62431,136.329,-15.90019955,-4.70971,84.4324,18.82490045,-0.49591,85.9409,-11.65489955,-19.88211,48.4111,15.50924045,12.42199,49.0474,-6.65369955,-43.18284,14.4826,13.70250045,20.14159,8.9122,-7.52539955,-36.10321,3.18621,15.45991045,31.69399,4.99564
4,0.13743045,-0.90821,94.9332,0.13743045,-0.90821,94.9332,-23.17289955,6.45519,133.971,18.66460045,-0.51341,136.301,-15.83069955,-4.59501,84.4076,18.85890045,-0.28301,85.9756,-11.59599955,-19.72671,48.3965,15.47453045,12.54009,49.0464,-6.65589955,-43.50517,14.7545,13.66937045,19.68709,8.83128,-7.50399955,-36.72951,3.1712,15.40599045,31.14009,4.66522
4.5,0.18523045,-0.83461,94.946,0.18523045,-0.83461,94.946,-23.10749955,6.47159,133.989,18.73590045,-0.39661,136.298,-15.76649955,-4.46861,84.3948,18.89410045,-0.08311,86.0285,-11.54259955,-19.49481,48.3593,15.45686045,12.65439,49.0636,-6.66799955,-43.76157,15.0331,13.65159045,19.21429,8.77021,-7.48329955,-37.36271,3.16332,15.37594045,30.57179,4.38786
5,0.23240045,-0.75761,94.9646,0.23240045,-0.75761,94.9646,-23.04289955,6.49299,134.012,18.80570045,-0.27931,136.306,-15.70529955,-4.33841,84.3862,18.93050045,0.10849,86.0888,-11.49279955,-19.22611,48.309,15.44651045,12.76209,49.088,-6.68809955,-43.98204,15.3189,13.63548045,18.73099,8.71299,-7.46569955,-37.99416,3.17135,15.35920045,29.99539,4.13618
